    Year   Month  Day   Area
    1979     1     5    699.13
    1979     1    10    627.79
    1979     1    15    576.27
    1979     1    20    510.95
    1979     1    25    458.48
    1979     1    31    405.78
    1979     2     5    356.69
    1979     2    10    334.65
    1979     2    15    313.87
    1979     2    20    315.17
    1979     2    25    306.07
    1979     2    28    304.21
    1979     3     5    339.64
    1979     3    10    356.25
    1979     3    15    387.31
    1979     3    20    417.62
    1979     3    25    489.96
    1979     3    31    554.17
    1979     4     5    595.84
    1979     4    10    688.29
    1979     4    15    744.89
    1979     4    20    814.65
    1979     4    25    866.72
    1979     4    30    916.05
    1979     5     5    943.95
    1979     5    10   1020.01
    1979     5    15   1078.14
    1979     5    20   1138.32
    1979     5    25   1173.05
    1979     5    31   1247.36
    1979     6     5   1336.13
    1979     6    10   1369.86
    1979     6    15   1408.86
    1979     6    20   1468.44
    1979     6    25   1554.04
    1979     6    30   1574.39
    1979     7     5   1603.65
    1979     7    10   1632.66
    1979     7    15   1667.95
    1979     7    20   1697.30
    1979     7    25   1717.01
    1979     7    31   1722.97
    1979     8     5   1714.97
    1979     8    10   1740.50
    1979     8    15   1779.33
    1979     8    20   1832.75
    1979     8    25   1847.68
    1979     8    31   1834.66
    1979     9     5   1845.97
    1979     9    10   1846.98
    1979     9    15   1848.14
    1979     9    20   1820.00
    1979     9    25   1832.95
    1979     9    30   1847.52
    1979    10     5   1842.72
    1979    10    10   1832.20
    1979    10    15   1818.62
    1979    10    20   1803.66
    1979    10    25   1764.59
    1979    10    31   1728.00
    1979    11     5   1703.15
    1979    11    10   1649.16
    1979    11    15   1593.10
    1979    11    20   1522.05
    1979    11    25   1448.63
    1979    11    30   1351.26
    1979    12     5   1272.55
    1979    12    10   1117.79
    1979    12    15    999.53
    1979    12    20    806.18
    1979    12    25    703.89
    1979    12    31    638.49
    1980     1     5    577.03
    1980     1    10    529.51
    1980     1    15    480.72
    1980     1    20    458.05
    1980     1    25    405.14
    1980     1    31    372.08
    1980     2     5    346.73
    1980     2    10    316.93
    1980     2    15    297.04
    1980     2    20    284.35
    1980     2    25    276.25
