    Year   Month  Day   Area
    1979     1     5   1507.34
    1979     1    10   1520.61
    1979     1    15   1552.55
    1979     1    20   1579.01
    1979     1    25   1583.07
    1979     1    31   1593.99
    1979     2     5   1592.29
    1979     2    10   1609.74
    1979     2    15   1644.28
    1979     2    20   1643.70
    1979     2    25   1661.79
    1979     2    28   1654.97
    1979     3     5   1666.94
    1979     3    10   1666.36
    1979     3    15   1650.35
    1979     3    20   1659.05
    1979     3    25   1629.57
    1979     3    31   1585.77
    1979     4     5   1572.17
    1979     4    10   1583.00
    1979     4    15   1556.77
    1979     4    20   1541.36
    1979     4    25   1526.92
    1979     4    30   1495.49
    1979     5     5   1444.30
    1979     5    10   1418.85
    1979     5    15   1387.63
    1979     5    20   1360.23
    1979     5    25   1339.60
    1979     5    31   1333.55
    1979     6     5   1293.36
    1979     6    10   1282.21
    1979     6    15   1263.69
    1979     6    20   1247.16
    1979     6    25   1224.41
    1979     6    30   1197.85
    1979     7     5   1141.77
    1979     7    10   1098.30
    1979     7    15   1055.27
    1979     7    20   1017.78
    1979     7    25    974.86
    1979     7    31    944.01
    1979     8     5    896.22
    1979     8    10    850.26
    1979     8    15    832.65
    1979     8    20    791.73
    1979     8    25    773.22
    1979     8    31    746.40
    1979     9     5    728.46
    1979     9    10    724.60
    1979     9    15    715.61
    1979     9    20    706.49
    1979     9    25    716.21
    1979     9    30    723.60
    1979    10     5    778.94
    1979    10    10    803.67
    1979    10    15    859.87
    1979    10    20    921.85
    1979    10    25    972.38
    1979    10    31    994.46
    1979    11     5   1021.95
    1979    11    10   1048.87
    1979    11    15   1087.77
    1979    11    20   1127.80
    1979    11    25   1157.60
    1979    11    30   1226.52
    1979    12     5   1264.86
    1979    12    10   1322.73
    1979    12    15   1337.30
    1979    12    20   1369.36
    1979    12    25   1384.09
    1979    12    31   1428.21
    1980     1     5   1455.74
    1980     1    10   1474.12
    1980     1    15   1500.96
    1980     1    20   1525.86
    1980     1    25   1535.09
    1980     1    31   1558.63
    1980     2     5   1580.93
    1980     2    10   1602.24
    1980     2    15   1619.13
    1980     2    20   1634.05
    1980     2    25   1630.91
    1980     2    28   1636.53
    1980     3     5   1645.58
    1980     3    10   1634.58
    1980     3    15   1611.89
    1980     3    20   1613.74
    1980     3    25   1604.13
    1980     3    31   1595.25
    1980     4     5   1578.50
    1980     4    10   1576.45
    1980     4    15   1562.05
    1980     4    20   1545.47
    1980     4    25   1532.69
    1980     4    30   1495.59
    1980     5     5   1467.21
    1980     5    10   1428.73
    1980     5    15   1397.81
    1980     5    20   1358.14
    1980     5    25   1338.66
    1980     5    31   1297.96
    1980     6     5   1269.50
    1980     6    10   1256.56
    1980     6    15   1227.80
    1980     6    20   1210.42
    1980     6    25   1175.99
    1980     6    30   1163.61
    1980     7     5   1117.68
    1980     7    10   1082.55
    1980     7    15   1032.21
    1980     7    20   1008.70
    1980     7    25    963.11
    1980     7    31    -99.99
    1980     8     5    890.02
    1980     8    10    854.12
    1980     8    15    817.01
    1980     8    20    800.58
    1980     8    25    778.85
    1980     8    31    787.57
    1980     9     5    788.35
    1980     9    10    785.19
    1980     9    15    785.41
    1980     9    20    789.67
    1980     9    25    801.80
    1980     9    30    816.16
    1980    10     5    860.70
    1980    10    10    890.99
    1980    10    15    926.47
    1980    10    20    940.86
    1980    10    25    972.16
    1980    10    31   1021.02
    1980    11     5   1053.63
    1980    11    10   1097.97
    1980    11    15   1118.08
    1980    11    20   1170.24
    1980    11    25   1217.91
    1980    11    30   1270.85
    1980    12     5   1306.39
    1980    12    10   1345.01
    1980    12    15   1377.79
    1980    12    20   1387.73
    1980    12    25   1394.06
    1980    12    31   1427.63
    1981     1     5   1464.06
    1981     1    10   1472.88
    1981     1    15   1495.24
    1981     1    20   1519.89
    1981     1    25   1538.29
    1981     1    31   1570.09
    1981     2     5   1576.50
    1981     2    10   1561.03
    1981     2    15   1566.33
    1981     2    20   1577.94
    1981     2    25   1586.04
    1981     2    28   1580.24
    1981     3     5   1572.16
    1981     3    10   1578.70
    1981     3    15   1583.21
    1981     3    20   1566.83
    1981     3    25   1566.96
    1981     3    31   1559.52
    1981     4     5   1533.00
    1981     4    10   1529.35
    1981     4    15   1516.90
    1981     4    20   1505.77
    1981     4    25   1476.79
    1981     4    30   1452.60
    1981     5     5   1428.92
    1981     5    10   1412.48
    1981     5    15   1400.51
    1981     5    20   1380.05
    1981     5    25   1344.37
    1981     5    31   1324.26
    1981     6     5   1306.97
    1981     6    10   1277.88
    1981     6    15   1260.49
    1981     6    20   1233.45
    1981     6    25   1213.60
    1981     6    30   1195.06
    1981     7     5   1161.12
    1981     7    10   1106.76
    1981     7    15   1081.99
    1981     7    20   1017.69
    1981     7    25    977.69
    1981     7    31    914.82
    1981     8     5    865.41
    1981     8    10    829.37
    1981     8    15    804.37
    1981     8    20    780.04
    1981     8    25    771.70
    1981     8    31    755.07
    1981     9     5    739.98
    1981     9    10    719.62
    1981     9    15    723.77
    1981     9    20    742.40
    1981     9    25    749.75
    1981     9    30    782.08
    1981    10     5    833.72
    1981    10    10    867.41
    1981    10    15    901.59
    1981    10    20    918.22
    1981    10    25    929.90
    1981    10    31    982.44
    1981    11     5   1034.53
    1981    11    10   1060.88
    1981    11    15   1113.18
    1981    11    20   1127.47
    1981    11    25   1173.38
    1981    11    30   1199.60
    1981    12     5   1264.32
    1981    12    10   1292.59
    1981    12    15   1357.81
    1981    12    20   1393.42
    1981    12    25   1407.66
    1981    12    31   1437.50
    1982     1     5   1479.14
    1982     1    10   1523.72
    1982     1    15   1535.01
    1982     1    20   1540.69
    1982     1    25   1558.45
    1982     1    31   1588.23
    1982     2     5   1602.21
    1982     2    10   1599.89
    1982     2    15   1605.99
    1982     2    20   1621.68
    1982     2    25   1643.98
    1982     2    28   1648.88
    1982     3     5   1644.44
    1982     3    10   1632.77
    1982     3    15   1612.36
    1982     3    20   1610.30
    1982     3    25   1609.48
    1982     3    31   1613.90
    1982     4     5   1599.36
    1982     4    10   1569.18
    1982     4    15   1565.10
    1982     4    20   1545.77
    1982     4    25   1522.38
    1982     4    30   1506.26
    1982     5     5   1478.34
    1982     5    10   1435.09
    1982     5    15   1416.31
    1982     5    20   1380.75
    1982     5    25   1367.16
    1982     5    31   1334.86
    1982     6     5   1297.00
    1982     6    10   1289.47
    1982     6    15   1274.43
    1982     6    20   1258.59
    1982     6    25   1224.08
    1982     6    30   1206.03
    1982     7     5   1155.70
    1982     7    10   1125.45
    1982     7    15    -99.99
    1982     7    20   1040.99
    1982     7    25    992.27
    1982     7    31    -99.99
    1982     8     5    893.77
    1982     8    10    855.73
    1982     8    15    839.38
    1982     8    20    825.50
    1982     8    25    806.84
    1982     8    31    777.41
    1982     9     5    752.84
    1982     9    10    744.37
    1982     9    15    740.00
    1982     9    20    741.98
    1982     9    25    751.89
    1982     9    30    769.94
    1982    10     5    829.79
    1982    10    10    900.07
    1982    10    15    968.38
    1982    10    20    990.69
    1982    10    25   1020.29
    1982    10    31   1059.82
    1982    11     5   1104.46
    1982    11    10   1127.79
    1982    11    15   1167.62
    1982    11    20   1188.90
    1982    11    25   1209.60
    1982    11    30   1280.66
    1982    12     5   1305.09
    1982    12    10   1345.68
    1982    12    15   1373.18
    1982    12    20   1411.80
    1982    12    25   1418.43
    1982    12    31   1437.03
    1983     1     5   1467.00
    1983     1    10   1473.52
    1983     1    15   1502.45
    1983     1    20   1532.06
    1983     1    25   1555.02
    1983     1    31   1579.56
    1983     2     5   1590.03
    1983     2    10   1604.46
    1983     2    15   1621.25
    1983     2    20   1634.74
    1983     2    25   1644.48
    1983     2    28   1631.16
    1983     3     5   1616.72
    1983     3    10   1631.83
    1983     3    15   1645.57
    1983     3    20   1624.59
    1983     3    25   1615.40
    1983     3    31   1606.79
    1983     4     5   1589.37
    1983     4    10   1567.55
    1983     4    15   1526.89
    1983     4    20   1494.21
    1983     4    25   1458.58
    1983     4    30   1433.42
    1983     5     5   1402.87
    1983     5    10   1380.76
    1983     5    15   1354.03
    1983     5    20   1338.11
    1983     5    25   1324.31
    1983     5    31   1305.02
    1983     6     5   1285.43
    1983     6    10   1262.01
    1983     6    15   1241.92
    1983     6    20   1230.87
    1983     6    25   1212.16
    1983     6    30   1193.11
    1983     7     5   1163.70
    1983     7    10   1138.77
    1983     7    15   1117.08
    1983     7    20   1053.03
    1983     7    25   1013.39
    1983     7    31    966.64
    1983     8     5    912.85
    1983     8    10    889.17
    1983     8    15    836.42
    1983     8    20    817.77
    1983     8    25    795.90
    1983     8    31    782.31
    1983     9     5    763.31
    1983     9    10    760.05
    1983     9    15    755.63
    1983     9    20    772.20
    1983     9    25    768.91
    1983     9    30    816.14
    1983    10     5    850.30
    1983    10    10    898.61
    1983    10    15    932.34
    1983    10    20    975.52
    1983    10    25   1008.02
    1983    10    31   1039.05
    1983    11     5   1093.70
    1983    11    10   1108.48
    1983    11    15   1163.73
    1983    11    20   1197.84
    1983    11    25   1229.29
    1983    11    30   1253.18
    1983    12     5   1301.00
    1983    12    10   1325.22
    1983    12    15   1354.90
    1983    12    20   1346.68
    1983    12    25   1375.23
    1983    12    31   1409.67
    1984     1     5   1436.16
    1984     1    10   1452.21
    1984     1    15   1450.21
    1984     1    20   1470.09
    1984     1    25   1491.39
    1984     1    31   1512.24
    1984     2     5   1525.68
    1984     2    10   1529.67
    1984     2    15   1556.97
    1984     2    20   1568.01
    1984     2    25   1570.61
    1984     2    28   1574.46
    1984     3     5   1568.67
    1984     3    10   1575.38
    1984     3    15   1586.72
    1984     3    20   1600.61
    1984     3    25   1573.98
    1984     3    31   1564.37
    1984     4     5   1551.90
    1984     4    10   1547.07
    1984     4    15   1520.06
    1984     4    20   1510.16
    1984     4    25   1476.45
    1984     4    30   1449.53
    1984     5     5   1408.90
    1984     5    10   1399.92
    1984     5    15   1373.64
    1984     5    20   1357.37
    1984     5    25   1340.17
    1984     5    31   1310.19
    1984     6     5   1270.98
    1984     6    10   1249.53
    1984     6    15   1232.72
    1984     6    20   1217.82
    1984     6    25   1206.10
    1984     6    30   1165.78
    1984     7     5   1150.53
    1984     7    10   1102.40
    1984     7    15   1051.50
    1984     7    20   1013.71
    1984     7    25    988.60
    1984     7    31    936.60
    1984     8     5    868.67
    1984     8    10    836.59
    1984     8    15    -99.99
    1984     8    20    -99.99
    1984     8    25    773.17
    1984     8    31    747.09
    1984     9     5    711.69
    1984     9    10    691.57
    1984     9    15    707.72
    1984     9    20    707.61
    1984     9    25    749.48
    1984     9    30    777.20
    1984    10     5    809.07
    1984    10    10    830.63
    1984    10    15    843.38
    1984    10    20    884.21
    1984    10    25    919.69
    1984    10    31    951.29
    1984    11     5   1007.03
    1984    11    10   1035.92
    1984    11    15   1098.24
    1984    11    20   1142.81
    1984    11    25   1203.48
    1984    11    30   1203.55
    1984    12     5   1257.47
    1984    12    10   1295.22
    1984    12    15   1317.76
    1984    12    20   1330.78
    1984    12    25   1347.41
    1984    12    31   1394.58
    1985     1     5   1450.37
    1985     1    10   1469.45
    1985     1    15   1485.06
    1985     1    20   1516.02
    1985     1    25   1527.50
    1985     1    31   1544.70
    1985     2     5   1563.55
    1985     2    10   1568.28
    1985     2    15   1565.80
    1985     2    20   1562.79
    1985     2    25   1574.91
    1985     2    28   1589.08
    1985     3     5   1584.16
    1985     3    10   1580.01
    1985     3    15   1631.47
    1985     3    20   1626.90
    1985     3    25   1627.72
    1985     3    31   1598.50
    1985     4     5   1570.26
    1985     4    10   1562.07
    1985     4    15   1561.25
    1985     4    20   1544.55
    1985     4    25   1528.97
    1985     4    30   1502.47
    1985     5     5   1480.96
    1985     5    10   1447.14
    1985     5    15   1429.59
    1985     5    20   1403.01
    1985     5    25   1388.02
    1985     5    31   1345.78
    1985     6     5   1296.85
    1985     6    10   1276.36
    1985     6    15   1244.60
    1985     6    20   1205.01
    1985     6    25   1182.46
    1985     6    30   1161.21
    1985     7     5   1108.62
    1985     7    10   1084.80
    1985     7    15   1032.85
    1985     7    20    993.73
    1985     7    25    940.96
    1985     7    31    886.08
    1985     8     5    849.49
    1985     8    10    806.11
    1985     8    15    793.39
    1985     8    20    769.29
    1985     8    25    754.07
    1985     8    31    726.06
    1985     9     5    696.77
    1985     9    10    690.59
    1985     9    15    701.82
    1985     9    20    709.37
    1985     9    25    725.11
    1985     9    30    741.35
    1985    10     5    791.42
    1985    10    10    830.50
    1985    10    15    868.90
    1985    10    20    886.10
    1985    10    25    923.95
