#Time(s) Intensity                                                                                  
 0.0000000000E+00 4124.000000
 20.00000000 3987.000000
 40.00000000 3903.000000
 60.00000000 4048.000000
 80.00000000 4186.000000
 100.0000000 4225.000000
 120.0000000 4165.000000
 140.0000000 4095.000000
 160.0000000 3993.000000
 180.0000000 3900.000000
 200.0000000 3996.000000
 220.0000000 4210.000000
 240.0000000 4201.000000
 260.0000000 4202.000000
 280.0000000 4029.000000
 300.0000000 3891.000000
 320.0000000 3852.000000
 340.0000000 3842.000000
 360.0000000 3909.000000
 380.0000000 3951.000000
 400.0000000 3886.000000
 420.0000000 4013.000000
 440.0000000 3896.000000
 460.0000000 4045.000000
 480.0000000 4220.000000
 500.0000000 4320.000000
 520.0000000 4662.000000
 540.0000000 4713.000000
 560.0000000 4456.000000
 580.0000000 4884.000000
 600.0000000 4836.000000
 620.0000000 2698.000000
 640.0000000 2375.000000
 660.0000000 9112.000000
 680.0000000 13258.00000
 700.0000000 -7251.000000
 720.0000000 -28201.00000
 740.0000000 55699.00000
 760.0000000 -18755.00000
 780.0000000 10611.00000
 800.0000000 3529.000000
 820.0000000 1948.000000
 840.0000000 6460.000000
 860.0000000 6785.000000
 880.0000000 -5649.000000
 900.0000000 22661.00000
 920.0000000 -30325.00000
 940.0000000 12617.00000
 960.0000000 20270.00000
 980.0000000 -2655.000000
 1000.000000 13517.00000
 1020.000000 13823.00000
 1040.000000 1754.000000
 1060.000000 -4678.000000
 1080.000000 3622.000000
 1100.000000 3145.000000
 1120.000000 7404.000000
 1140.000000 685.0000000
 1160.000000 6176.000000
 1180.000000 -1602.000000
 1200.000000 -12558.00000
 1220.000000 17320.00000
 1240.000000 636.0000000
 1260.000000 -14438.00000
 1280.000000 -3595.000000
 1300.000000 49131.00000
 1320.000000 65282.00000
 1340.000000 -181070.0000
 1360.000000 155791.0000
 1380.000000 36702.00000
 1400.000000 -87778.00000
 1420.000000 -57567.00000
 1440.000000 9094.000000
 1460.000000 183764.0000
 1480.000000 -131414.0000
 1500.000000 191742.0000
 1520.000000 -129183.0000
 1540.000000 13064.00000
 1560.000000 -53564.00000
 1580.000000 -45541.00000
 1600.000000 33425.00000
 1620.000000 73627.00000
 1640.000000 -76436.00000
 1660.000000 -49269.00000
 1680.000000 169498.0000
 1700.000000 366.0000000
 1720.000000 -77405.00000
 1740.000000 223744.0000
 1760.000000 -199908.0000
 1780.000000 64877.00000
 1800.000000 13518.00000
 1820.000000 -50170.00000
 1840.000000 -7745.000000
 1860.000000 11468.00000
 1880.000000 220786.0000
 1900.000000 -546207.0000
 1920.000000 514181.0000
 1940.000000 -169175.0000
 1960.000000 -96281.00000
 1980.000000 83863.00000
 2000.000000 40640.00000
 2020.000000 -21166.00000
 2040.000000 -88907.00000
 2060.000000 153291.0000
 2080.000000 -41945.00000
 2100.000000 -121970.0000
 2120.000000 156955.0000
 2140.000000 -35369.00000
 2160.000000 166074.0000
 2180.000000 -35829.00000
 2200.000000 -171687.0000
 2220.000000 93746.00000
 2240.000000 50228.00000
 2260.000000 2172.000000
 2280.000000 -78988.00000
 2300.000000 46554.00000
 2320.000000 117448.0000
 2340.000000 -151916.0000
 2360.000000 -130650.0000
 2380.000000 327025.0000
 2400.000000 -670359.0000
 2420.000000 1219030.000
 2440.000000 -1330420.000
 2460.000000 339054.0000
 2480.000000 -18584.00000
 2500.000000 352235.0000
 2520.000000 417343.0000
 2540.000000 -285246.0000
 2560.000000 774111.0000
 2580.000000 -929784.0000
 2600.000000 -233244.0000
 2620.000000 106508.0000
 2640.000000 -246139.0000
 2660.000000 144492.0000
 2680.000000 263805.0000
 2700.000000 -72226.00000
 2720.000000 61069.00000
 2740.000000 326086.0000
 2760.000000 -262369.0000
 2780.000000 -18258.00000
 2800.000000 37279.00000
 2820.000000 -66229.00000
 2840.000000 6182.000000
 2860.000000 -41350.00000
 2880.000000 118694.0000
 2900.000000 -78525.00000
 2920.000000 -59471.00000
 2940.000000 93473.00000
 2960.000000 102064.0000
 2980.000000 -159441.0000
 3000.000000 76412.00000
 3020.000000 30628.00000
 3040.000000 -53335.00000
 3060.000000 -7931.000000
 3080.000000 141207.0000
 3100.000000 -49525.00000
 3120.000000 -112531.0000
 3140.000000 -11839.00000
 3160.000000 167266.0000
 3180.000000 18336.00000
 3200.000000 -155700.0000
 3220.000000 9815.000000
 3240.000000 117224.0000
 3260.000000 -6325.000000
 3280.000000 -70161.00000
 3300.000000 23333.00000
 3320.000000 21926.00000
 3340.000000 19539.00000
 3360.000000 3709.000000
 3380.000000 -12574.00000
 3400.000000 14578.00000
 3420.000000 -12890.00000
 3440.000000 34577.00000
 3460.000000 -32286.00000
 3480.000000 21703.00000
 3500.000000 -13093.00000
 3520.000000 23358.00000
 3540.000000 13955.00000
 3560.000000 10640.00000
 3580.000000 -33417.00000
 3600.000000 14386.00000
 3620.000000 7321.000000
 3640.000000 25244.00000
 3660.000000 -16630.00000
 3680.000000 1184.000000
 3700.000000 26780.00000
 3720.000000 -18180.00000
 3740.000000 -11022.00000
 3760.000000 33699.00000
 3780.000000 4411.000000
 3800.000000 4336.000000
 3820.000000 -9343.000000
 3840.000000 -11552.00000
 3860.000000 45384.00000
 3880.000000 -10588.00000
 3900.000000 -9116.000000
 3920.000000 24510.00000
 3940.000000 -19429.00000
 3960.000000 -4939.000000
 3980.000000 35306.00000
 4000.000000 12893.00000
 4020.000000 -36818.00000
 4040.000000 26905.00000
 4060.000000 16775.00000
 4080.000000 15230.00000
