#Time(s) Intensity                                                                                  
 0.0000000000E+00 22886.00000
 20.00000000 22913.00000
 40.00000000 22935.00000
 60.00000000 22892.00000
 80.00000000 22899.00000
 100.0000000 22931.00000
 120.0000000 22934.00000
 140.0000000 22886.00000
 160.0000000 22885.00000
 180.0000000 22895.00000
 200.0000000 22952.00000
 220.0000000 22944.00000
 240.0000000 22850.00000
 260.0000000 22830.00000
 280.0000000 22829.00000
 300.0000000 22854.00000
 320.0000000 22828.00000
 340.0000000 22854.00000
 360.0000000 22868.00000
 380.0000000 22779.00000
 400.0000000 23219.00000
 420.0000000 22296.00000
 440.0000000 22382.00000
 460.0000000 24895.00000
 480.0000000 24950.00000
 500.0000000 17927.00000
 520.0000000 12369.00000
 540.0000000 38232.00000
 560.0000000 1430.000000
 580.0000000 18105.00000
 600.0000000 65245.00000
 620.0000000 7582.000000
 640.0000000 26058.00000
 660.0000000 42876.00000
 680.0000000 -16626.00000
 700.0000000 35305.00000
 720.0000000 12823.00000
 740.0000000 34268.00000
 760.0000000 66672.00000
 780.0000000 -4687.000000
 800.0000000 32514.00000
 820.0000000 20769.00000
 840.0000000 -21073.00000
 860.0000000 47479.00000
 880.0000000 10056.00000
 900.0000000 9233.000000
 920.0000000 4862.000000
 940.0000000 49518.00000
 960.0000000 53970.00000
 980.0000000 23194.00000
 1000.000000 -7604.000000
 1020.000000 -104366.0000
 1040.000000 21833.00000
 1060.000000 -48643.00000
 1080.000000 656924.0000
 1100.000000 -478176.0000
 1120.000000 219928.0000
 1140.000000 -24033.00000
 1160.000000 -121739.0000
 1180.000000 186109.0000
 1200.000000 -234429.0000
 1220.000000 58319.00000
 1240.000000 80139.00000
 1260.000000 425817.0000
 1280.000000 -682623.0000
 1300.000000 616507.0000
 1320.000000 -166056.0000
 1340.000000 29404.00000
 1360.000000 27566.00000
 1380.000000 100562.0000
 1400.000000 -7085.000000
 1420.000000 -250644.0000
 1440.000000 496352.0000
 1460.000000 -388239.0000
 1480.000000 -7566.000000
 1500.000000 -90977.00000
 1520.000000 1063810.000
 1540.000000 -1235920.000
 1560.000000 -1209470.000
 1580.000000 4100930.000
 1600.000000 -2200000.000
 1620.000000 -2303410.000
 1640.000000 1508530.000
 1660.000000 1751630.000
 1680.000000 277901.0000
 1700.000000 -355532.0000
 1720.000000 -682462.0000
 1740.000000 -508015.0000
 1760.000000 -241630.0000
 1780.000000 36923.00000
 1800.000000 264432.0000
 1820.000000 257410.0000
 1840.000000 173149.0000
 1860.000000 130798.0000
 1880.000000 107091.0000
 1900.000000 -98221.00000
 1920.000000 -33179.00000
 1940.000000 17429.00000
 1960.000000 11583.00000
 1980.000000 -48085.00000
 2000.000000 9884.000000
 2020.000000 11035.00000
 2040.000000 13075.00000
 2060.000000 85438.00000
 2080.000000 3408.000000
 2100.000000 34286.00000
 2120.000000 17305.00000
 2140.000000 43592.00000
 2160.000000 47782.00000
 2180.000000 40025.00000
 2200.000000 -41336.00000
 2220.000000 19014.00000
 2240.000000 50225.00000
 2260.000000 30352.00000
 2280.000000 -10803.00000
 2300.000000 30208.00000
 2320.000000 36195.00000
 2340.000000 33256.00000
 2360.000000 -5149.000000
 2380.000000 19115.00000
 2400.000000 55252.00000
 2420.000000 30272.00000
 2440.000000 -16580.00000
 2460.000000 22212.00000
 2480.000000 49899.00000
 2500.000000 18028.00000
 2520.000000 27208.00000
 2540.000000 -12387.00000
 2560.000000 43003.00000
 2580.000000 43952.00000
 2600.000000 -17564.00000
 2620.000000 60252.00000
 2640.000000 2506.000000
 2660.000000 27629.00000
 2680.000000 23677.00000
 2700.000000 24189.00000
 2720.000000 32665.00000
 2740.000000 18619.00000
 2760.000000 13432.00000
 2780.000000 30315.00000
 2800.000000 7936.000000
 2820.000000 38256.00000
 2840.000000 24453.00000
 2860.000000 19046.00000
 2880.000000 10510.00000
 2900.000000 24121.00000
 2920.000000 37223.00000
 2940.000000 19803.00000
 2960.000000 22228.00000
 2980.000000 15999.00000
 3000.000000 19076.00000
 3020.000000 40320.00000
 3040.000000 13715.00000
 3060.000000 33040.00000
 3080.000000 10216.00000
 3100.000000 20420.00000
 3120.000000 14560.00000
 3140.000000 21910.00000
 3160.000000 46777.00000
 3180.000000 13836.00000
 3200.000000 26535.00000
 3220.000000 5817.000000
 3240.000000 43699.00000
 3260.000000 5929.000000
 3280.000000 47776.00000
 3300.000000 -5859.000000
 3320.000000 33715.00000
 3340.000000 21367.00000
 3360.000000 21002.00000
 3380.000000 28936.00000
 3400.000000 10626.00000
 3420.000000 14937.00000
 3440.000000 48691.00000
 3460.000000 17532.00000
 3480.000000 19730.00000
 3500.000000 13877.00000
 3520.000000 44802.00000
 3540.000000 11428.00000
 3560.000000 15337.00000
 3580.000000 25663.00000
 3600.000000 22061.00000
 3620.000000 25077.00000
 3640.000000 4837.000000
 3660.000000 43194.00000
 3680.000000 18489.00000
 3700.000000 28036.00000
 3720.000000 24047.00000
 3740.000000 33372.00000
 3760.000000 20852.00000
 3780.000000 -133.0000000
 3800.000000 32364.00000
 3820.000000 10764.00000
 3840.000000 38020.00000
 3860.000000 29711.00000
 3880.000000 -646.0000000
 3900.000000 41216.00000
 3920.000000 31120.00000
 3940.000000 15494.00000
 3960.000000 13218.00000
 3980.000000 24717.00000
 4000.000000 29620.00000
 4020.000000 63.00000000
 4040.000000 38302.00000
 4060.000000 31294.00000
 4080.000000 14593.00000
 4100.000000 20477.00000
 4120.000000 25198.00000
 4140.000000 17164.00000
 4160.000000 27408.00000
 4180.000000 26649.00000
 4200.000000 8638.000000
 4220.000000 31504.00000
 4240.000000 42539.00000
 4260.000000 1820.000000
 4280.000000 29587.00000
 4300.000000 8145.000000
 4320.000000 31208.00000
 4340.000000 28461.00000
 4360.000000 16710.00000
 4380.000000 19427.00000
 4400.000000 28761.00000
 4420.000000 33596.00000
 4440.000000 19792.00000
 4460.000000 50471.00000
 4480.000000 -11315.00000
 4500.000000 30761.00000
 4520.000000 27429.00000
 4540.000000 12791.00000
 4560.000000 24327.00000
 4580.000000 22094.00000
 4600.000000 4638.000000
 4620.000000 37317.00000
 4640.000000 24258.00000
 4660.000000 36669.00000
 4680.000000 -14624.00000
 4700.000000 35231.00000
 4720.000000 31833.00000
 4740.000000 38283.00000
 4760.000000 4478.000000
 4780.000000 32181.00000
 4800.000000 12622.00000
 4820.000000 62622.00000
 4840.000000 7990.000000
 4860.000000 9301.000000
 4880.000000 5200.000000
 4900.000000 29219.00000
 4920.000000 50826.00000
 4940.000000 2424.000000
 4960.000000 19985.00000
 4980.000000 24609.00000
 5000.000000 12623.00000
 5020.000000 28991.00000
 5040.000000 10695.00000
 5060.000000 29910.00000
 5080.000000 16126.00000
 5100.000000 36740.00000
 5120.000000 25824.00000
 5140.000000 -4700.000000
 5160.000000 44323.00000
 5180.000000 17403.00000
 5200.000000 13996.00000
 5220.000000 47676.00000
 5240.000000 51138.00000
 5260.000000 43684.00000
 5280.000000 -8583.000000
 5300.000000 6424.000000
 5320.000000 16562.00000
 5340.000000 37399.00000
 5360.000000 -2827.000000
 5380.000000 5795.000000
 5400.000000 73505.00000
 5420.000000 29970.00000
 5440.000000 3539.000000
 5460.000000 14967.00000
 5480.000000 406.0000000
 5500.000000 -5140.000000
 5520.000000 32773.00000
 5540.000000 91652.00000
 5560.000000 -3238.000000
 5580.000000 42869.00000
 5600.000000 -16007.00000
 5620.000000 24216.00000
 5640.000000 36449.00000
 5660.000000 44327.00000
 5680.000000 37598.00000
 5700.000000 10369.00000
 5720.000000 -1482.000000
 5740.000000 25680.00000
 5760.000000 -6399.000000
 5780.000000 28355.00000
 5800.000000 -10071.00000
 5820.000000 60750.00000
 5840.000000 39944.00000
 5860.000000 16542.00000
 5880.000000 46775.00000
 5900.000000 67802.00000
 5920.000000 -1526.000000
 5940.000000 30941.00000
 5960.000000 -17634.00000
 5980.000000 223.0000000
 6000.000000 34091.00000
 6020.000000 17451.00000
 6040.000000 47063.00000
 6060.000000 -1748.000000
 6080.000000 42666.00000
 6100.000000 -12666.00000
 6120.000000 99435.00000
 6140.000000 -15871.00000
 6160.000000 -16026.00000
 6180.000000 50094.00000
 6200.000000 27234.00000
 6220.000000 -360.0000000
 6240.000000 42900.00000
 6260.000000 49640.00000
 6280.000000 12302.00000
 6300.000000 23171.00000
 6320.000000 14138.00000
 6340.000000 -13781.00000
 6360.000000 29326.00000
 6380.000000 39303.00000
 6400.000000 27371.00000
 6420.000000 37530.00000
 6440.000000 17056.00000
 6460.000000 34867.00000
 6480.000000 13790.00000
 6500.000000 11842.00000
 6520.000000 19728.00000
 6540.000000 57038.00000
 6560.000000 53913.00000
 6580.000000 31176.00000
 6600.000000 9454.000000
 6620.000000 2958.000000
 6640.000000 -12510.00000
 6660.000000 -1780.000000
 6680.000000 27315.00000
 6700.000000 29456.00000
 6720.000000 24337.00000
 6740.000000 9000.000000
 6760.000000 17020.00000
 6780.000000 31101.00000
 6800.000000 423.0000000
 6820.000000 65894.00000
 6840.000000 41729.00000
 6860.000000 15738.00000
 6880.000000 21385.00000
 6900.000000 18512.00000
 6920.000000 34659.00000
 6940.000000 25860.00000
 6960.000000 41520.00000
 6980.000000 32202.00000
 7000.000000 31318.00000
 7020.000000 8417.000000
 7040.000000 25819.00000
 7060.000000 18110.00000
 7080.000000 24739.00000
 7100.000000 -21562.00000
 7120.000000 45382.00000
 7140.000000 23969.00000
 7160.000000 -6256.000000
 7180.000000 11237.00000
 7200.000000 26842.00000
 7220.000000 50040.00000
 7240.000000 20126.00000
 7260.000000 9724.000000
 7280.000000 25402.00000
 7300.000000 15925.00000
 7320.000000 23791.00000
 7340.000000 20915.00000
 7360.000000 46331.00000
 7380.000000 39252.00000
 7400.000000 14526.00000
 7420.000000 39412.00000
 7440.000000 39869.00000
 7460.000000 30182.00000
 7480.000000 19071.00000
 7500.000000 22709.00000
 7520.000000 24530.00000
 7540.000000 -10413.00000
 7560.000000 -77.00000000
 7580.000000 -3416.000000
 7600.000000 18182.00000
 7620.000000 51507.00000
 7640.000000 24517.00000
 7660.000000 46981.00000
 7680.000000 18979.00000
 7700.000000 6985.000000
 7720.000000 18405.00000
 7740.000000 28145.00000
 7760.000000 34852.00000
 7780.000000 41722.00000
 7800.000000 19947.00000
 7820.000000 32341.00000
 7840.000000 24930.00000
 7860.000000 2985.000000
 7880.000000 32252.00000
 7900.000000 11476.00000
 7920.000000 37940.00000
 7940.000000 18290.00000
 7960.000000 25161.00000
 7980.000000 36930.00000
 8000.000000 28425.00000
 8020.000000 -6747.000000
 8040.000000 5421.000000
 8060.000000 -5453.000000
 8080.000000 9112.000000
 8100.000000 25032.00000
 8120.000000 46734.00000
 8140.000000 35472.00000
 8160.000000 51245.00000
 8180.000000 30134.00000
 8200.000000 28246.00000
 8220.000000 38726.00000
 8240.000000 45341.00000
 8260.000000 36508.00000
 8280.000000 11876.00000
 8300.000000 7103.000000
 8320.000000 3267.000000
 8340.000000 11096.00000
 8360.000000 17463.00000
 8380.000000 -2504.000000
 8400.000000 11891.00000
 8420.000000 27841.00000
 8440.000000 36047.00000
 8460.000000 2769.000000
 8480.000000 13299.00000
 8500.000000 17878.00000
 8520.000000 51389.00000
 8540.000000 52958.00000
 8560.000000 47188.00000
 8580.000000 38301.00000
 8600.000000 42897.00000
 8620.000000 7050.000000
 8640.000000 8533.000000
 8660.000000 783.0000000
 8680.000000 5052.000000
 8700.000000 32696.00000
 8720.000000 23098.00000
 8740.000000 1797.000000
 8760.000000 21174.00000
 8780.000000 25344.00000
 8800.000000 -985.0000000
 8820.000000 1796.000000
 8840.000000 56625.00000
 8860.000000 95548.00000
 8880.000000 63864.00000
 8900.000000 15251.00000
 8920.000000 -10012.00000
 8940.000000 21577.00000
 8960.000000 60006.00000
 8980.000000 33959.00000
 9000.000000 -22158.00000
 9020.000000 -43056.00000
 9040.000000 -28137.00000
 9060.000000 -1181.000000
 9080.000000 84750.00000
 9100.000000 45938.00000
 9120.000000 45534.00000
 9140.000000 -24111.00000
 9160.000000 26514.00000
 9180.000000 5332.000000
 9200.000000 88231.00000
 9220.000000 100984.0000
 9240.000000 92078.00000
 9260.000000 52645.00000
 9280.000000 -30635.00000
 9300.000000 -56658.00000
 9320.000000 -58821.00000
 9340.000000 -41493.00000
 9360.000000 -32309.00000
 9380.000000 41815.00000
 9400.000000 96545.00000
 9420.000000 119323.0000
 9440.000000 105305.0000
 9460.000000 68088.00000
 9480.000000 10421.00000
 9500.000000 -25863.00000
 9520.000000 -41275.00000
 9540.000000 -37673.00000
 9560.000000 -31199.00000
 9580.000000 20670.00000
 9600.000000 49474.00000
 9620.000000 50857.00000
 9640.000000 56934.00000
 9660.000000 42863.00000
 9680.000000 42215.00000
 9700.000000 33722.00000
 9720.000000 10724.00000
 9740.000000 20019.00000
 9760.000000 20013.00000
 9780.000000 25786.00000
 9800.000000 28678.00000
 9820.000000 18597.00000
 9840.000000 19204.00000
 9860.000000 32117.00000
 9880.000000 15100.00000
 9900.000000 6723.000000
 9920.000000 10391.00000
 9940.000000 21807.00000
 9960.000000 28019.00000
 9980.000000 29351.00000
 10000.00000 25689.00000
 10020.00000 20003.00000
 10040.00000 15222.00000
 10060.00000 30884.00000
 10080.00000 31320.00000
 10100.00000 18310.00000
 10120.00000 25728.00000
 10140.00000 33311.00000
 10160.00000 29458.00000
 10180.00000 25323.00000
 10200.00000 30496.00000
 10220.00000 29670.00000
 10240.00000 29668.00000
 10260.00000 25298.00000
 10280.00000 20607.00000
 10300.00000 29136.00000
 10320.00000 22133.00000
 10340.00000 8274.000000
 10360.00000 18757.00000
 10380.00000 21785.00000
 10400.00000 20310.00000
 10420.00000 18384.00000
 10440.00000 21677.00000
 10460.00000 10704.00000
 10480.00000 10179.00000
 10500.00000 23171.00000
 10520.00000 23628.00000
 10540.00000 24669.00000
 10560.00000 33343.00000
 10580.00000 36465.00000
 10600.00000 37308.00000
 10620.00000 40192.00000
 10640.00000 36061.00000
 10660.00000 22924.00000
 10680.00000 23001.00000
 10700.00000 23573.00000
 10720.00000 25069.00000
 10740.00000 17248.00000
 10760.00000 21300.00000
 10780.00000 26146.00000
 10800.00000 3615.000000
 10820.00000 10714.00000
 10840.00000 8909.000000
 10860.00000 15398.00000
 10880.00000 17580.00000
 10900.00000 25881.00000
 10920.00000 27171.00000
 10940.00000 37826.00000
 10960.00000 43979.00000
 10980.00000 35579.00000
 11000.00000 31536.00000
 11020.00000 39437.00000
 11040.00000 34711.00000
 11060.00000 35803.00000
 11080.00000 20020.00000
 11100.00000 7291.000000
 11120.00000 13153.00000
 11140.00000 12007.00000
 11160.00000 21387.00000
 11180.00000 12737.00000
 11200.00000 13819.00000
 11220.00000 17878.00000
 11240.00000 7564.000000
 11260.00000 13492.00000
 11280.00000 30045.00000
 11300.00000 46462.00000
 11320.00000 41878.00000
 11340.00000 34583.00000
 11360.00000 13836.00000
 11380.00000 52415.00000
 11400.00000 29750.00000
 11420.00000 9202.000000
 11440.00000 22803.00000
 11460.00000 34276.00000
 11480.00000 36230.00000
 11500.00000 18784.00000
 11520.00000 14439.00000
 11540.00000 7753.000000
 11560.00000 15442.00000
 11580.00000 5455.000000
 11600.00000 7527.000000
 11620.00000 17802.00000
 11640.00000 12247.00000
 11660.00000 40383.00000
 11680.00000 58320.00000
 11700.00000 43010.00000
 11720.00000 31979.00000
 11740.00000 32492.00000
 11760.00000 31638.00000
 11780.00000 32728.00000
 11800.00000 21728.00000
 11820.00000 14376.00000
 11840.00000 15225.00000
 11860.00000 19125.00000
 11880.00000 9716.000000
 11900.00000 7705.000000
 11920.00000 14865.00000
 11940.00000 17293.00000
 11960.00000 8360.000000
 11980.00000 36640.00000
 12000.00000 37089.00000
 12020.00000 36331.00000
 12040.00000 40300.00000
 12060.00000 40790.00000
 12080.00000 43974.00000
 12100.00000 40573.00000
 12120.00000 5185.000000
 12140.00000 3091.000000
 12160.00000 25550.00000
 12180.00000 43920.00000
 12200.00000 12447.00000
 12220.00000 -14123.00000
 12240.00000 -21962.00000
 12260.00000 21298.00000
 12280.00000 53692.00000
 12300.00000 51080.00000
 12320.00000 18469.00000
 12340.00000 -5564.000000
 12360.00000 28426.00000
 12380.00000 77772.00000
 12400.00000 105772.0000
 12420.00000 61606.00000
 12440.00000 6863.000000
 12460.00000 -35493.00000
 12480.00000 -59278.00000
 12500.00000 -25403.00000
 12520.00000 49504.00000
 12540.00000 79503.00000
 12560.00000 56996.00000
 12580.00000 19233.00000
 12600.00000 -29845.00000
 12620.00000 -44059.00000
 12640.00000 -9403.000000
 12660.00000 56937.00000
 12680.00000 113906.0000
 12700.00000 126689.0000
 12720.00000 115261.0000
 12740.00000 37752.00000
 12760.00000 -48103.00000
 12780.00000 -82404.00000
 12800.00000 -77557.00000
 12820.00000 -51562.00000
 12840.00000 454.0000000
 12860.00000 76247.00000
 12880.00000 121005.0000
 12900.00000 123140.0000
 12920.00000 95427.00000
 12940.00000 53639.00000
 12960.00000 12032.00000
 12980.00000 -36570.00000
 13000.00000 -51803.00000
 13020.00000 -44146.00000
 13040.00000 -21097.00000
 13060.00000 12159.00000
 13080.00000 40086.00000
 13100.00000 67392.00000
 13120.00000 83704.00000
 13140.00000 73739.00000
 13160.00000 51265.00000
 13180.00000 23462.00000
 13200.00000 6751.000000
 13220.00000 -6782.000000
 13240.00000 -725.0000000
 13260.00000 5219.000000
 13280.00000 19550.00000
 13300.00000 26674.00000
 13320.00000 34003.00000
 13340.00000 32203.00000
 13360.00000 26537.00000
 13380.00000 24234.00000
 13400.00000 30151.00000
 13420.00000 37279.00000
 13440.00000 27087.00000
 13460.00000 27870.00000
 13480.00000 26874.00000
 13500.00000 29205.00000
 13520.00000 26884.00000
 13540.00000 19569.00000
 13560.00000 16941.00000
 13580.00000 9083.000000
 13600.00000 15716.00000
 13620.00000 21972.00000
 13640.00000 28372.00000
 13660.00000 27344.00000
 13680.00000 29871.00000
 13700.00000 30975.00000
 13720.00000 26818.00000
 13740.00000 25527.00000
 13760.00000 20370.00000
 13780.00000 23239.00000
 13800.00000 27497.00000
 13820.00000 20287.00000
 13840.00000 18739.00000
 13860.00000 27461.00000
 13880.00000 33169.00000
 13900.00000 36618.00000
 13920.00000 26174.00000
 13940.00000 23895.00000
 13960.00000 20049.00000
 13980.00000 21166.00000
 14000.00000 27584.00000
 14020.00000 29254.00000
 14040.00000 29811.00000
 14060.00000 29998.00000
 14080.00000 32983.00000
 14100.00000 28188.00000
 14120.00000 17130.00000
 14140.00000 11002.00000
 14160.00000 10332.00000
 14180.00000 19874.00000
 14200.00000 22128.00000
 14220.00000 31933.00000
 14240.00000 28377.00000
