#Time(s) Intensity                                                                                  
 0.0000000000E+00 -139605.0000
 20.00000000 -203580.0000
 40.00000000 271752.0000
 60.00000000 563443.0000
 80.00000000 -1776290.000
 100.0000000 1110140.000
 120.0000000 1392240.000
 140.0000000 -1604280.000
 160.0000000 1292840.000
 180.0000000 -7015890.000
 200.0000000 4712120.000
 220.0000000 2406910.000
 240.0000000 -348118.0000
 260.0000000 -483167.0000
 280.0000000 538298.0000
 300.0000000 -2213920.000
 320.0000000 685723.0000
 340.0000000 -471229.0000
 360.0000000 389656.0000
 380.0000000 -335955.0000
 400.0000000 -305967.0000
 420.0000000 105021.0000
 440.0000000 391455.0000
 460.0000000 -54305.00000
 480.0000000 -315269.0000
 500.0000000 -9853.000000
 520.0000000 231195.0000
 540.0000000 -140102.0000
 560.0000000 106684.0000
 580.0000000 -325135.0000
 600.0000000 26315.00000
 620.0000000 38485.00000
 640.0000000 -57046.00000
 660.0000000 -56316.00000
 680.0000000 -99280.00000
 700.0000000 4200.000000
 720.0000000 -61907.00000
 740.0000000 42738.00000
 760.0000000 -80667.00000
 780.0000000 12121.00000
 800.0000000 -162058.0000
 820.0000000 56884.00000
 840.0000000 -15140.00000
 860.0000000 -75625.00000
 880.0000000 -52049.00000
 900.0000000 -43860.00000
 920.0000000 -36470.00000
 940.0000000 -65590.00000
 960.0000000 -11845.00000
 980.0000000 -67369.00000
 1000.000000 -29438.00000
 1020.000000 -89820.00000
 1040.000000 -14875.00000
 1060.000000 -51707.00000
 1080.000000 23356.00000
 1100.000000 -78021.00000
 1120.000000 -87397.00000
 1140.000000 -120066.0000
 1160.000000 120691.0000
 1180.000000 -24076.00000
 1200.000000 -242238.0000
 1220.000000 22539.00000
 1240.000000 129383.0000
 1260.000000 -240057.0000
 1280.000000 -43855.00000
 1300.000000 104771.0000
 1320.000000 -65176.00000
 1340.000000 -172020.0000
 1360.000000 -41370.00000
 1380.000000 84293.00000
 1400.000000 -76187.00000
 1420.000000 -108787.0000
 1440.000000 3831.000000
 1460.000000 -41586.00000
 1480.000000 -138575.0000
 1500.000000 62591.00000
 1520.000000 35632.00000
 1540.000000 -242301.0000
 1560.000000 14892.00000
 1580.000000 5200.000000
 1600.000000 9974.000000
 1620.000000 -157887.0000
 1640.000000 -37971.00000
 1660.000000 56197.00000
 1680.000000 -108677.0000
 1700.000000 -67762.00000
 1720.000000 -32678.00000
 1740.000000 -47079.00000
 1760.000000 2839.000000
 1780.000000 -82913.00000
 1800.000000 -7439.000000
 1820.000000 -134405.0000
 1840.000000 15535.00000
 1860.000000 -30161.00000
 1880.000000 -40354.00000
 1900.000000 -88923.00000
 1920.000000 -25281.00000
 1940.000000 -19219.00000
 1960.000000 -83238.00000
 1980.000000 1876.000000
 2000.000000 -59844.00000
 2020.000000 -101760.0000
 2040.000000 693.0000000
 2060.000000 -25291.00000
 2080.000000 -59768.00000
 2100.000000 -23721.00000
 2120.000000 -101551.0000
 2140.000000 25494.00000
 2160.000000 -105503.0000
 2180.000000 -44406.00000
 2200.000000 -4903.000000
 2220.000000 -23229.00000
 2240.000000 -104971.0000
 2260.000000 -3045.000000
 2280.000000 -84830.00000
 2300.000000 -3596.000000
 2320.000000 -53496.00000
 2340.000000 -58846.00000
 2360.000000 -43797.00000
 2380.000000 -37940.00000
 2400.000000 -52097.00000
 2420.000000 -21136.00000
 2440.000000 -43683.00000
 2460.000000 -83043.00000
 2480.000000 -53647.00000
 2500.000000 25427.00000
 2520.000000 -96122.00000
 2540.000000 -43793.00000
 2560.000000 -62240.00000
 2580.000000 30171.00000
 2600.000000 -53257.00000
 2620.000000 -114200.0000
 2640.000000 -37390.00000
 2660.000000 28146.00000
 2680.000000 -109784.0000
 2700.000000 -67403.00000
 2720.000000 25914.00000
 2740.000000 -39113.00000
 2760.000000 -99598.00000
 2780.000000 -43142.00000
 2800.000000 -8160.000000
 2820.000000 -59129.00000
 2840.000000 -40725.00000
 2860.000000 -77741.00000
 2880.000000 -1853.000000
 2900.000000 -96859.00000
 2920.000000 17257.00000
 2940.000000 -31766.00000
 2960.000000 -110679.0000
 2980.000000 -24108.00000
 3000.000000 -21161.00000
 3020.000000 -59787.00000
 3040.000000 -14032.00000
 3060.000000 -105899.0000
 3080.000000 -27567.00000
 3100.000000 -21763.00000
 3120.000000 -31129.00000
 3140.000000 -41573.00000
 3160.000000 -91673.00000
 3180.000000 -39838.00000
 3200.000000 -22072.00000
 3220.000000 -53276.00000
 3240.000000 -71591.00000
 3260.000000 -5696.000000
 3280.000000 6438.000000
 3300.000000 -117574.0000
 3320.000000 -40369.00000
 3340.000000 -7909.000000
 3360.000000 -79799.00000
 3380.000000 -64141.00000
 3400.000000 -26004.00000
 3420.000000 -6119.000000
 3440.000000 -76875.00000
 3460.000000 -40654.00000
 3480.000000 -28959.00000
 3500.000000 -65062.00000
 3520.000000 -55259.00000
 3540.000000 -33313.00000
 3560.000000 -21331.00000
 3580.000000 -51998.00000
 3600.000000 -79448.00000
 3620.000000 -9541.000000
 3640.000000 -52147.00000
 3660.000000 -70098.00000
 3680.000000 -9008.000000
 3700.000000 -42731.00000
 3720.000000 -73611.00000
 3740.000000 -33697.00000
 3760.000000 -54242.00000
 3780.000000 -46671.00000
 3800.000000 -10658.00000
 3820.000000 -72543.00000
 3840.000000 -50200.00000
 3860.000000 -16588.00000
 3880.000000 -77306.00000
 3900.000000 -31803.00000
 3920.000000 -49487.00000
 3940.000000 -10073.00000
 3960.000000 -73986.00000
 3980.000000 -52727.00000
 4000.000000 -55012.00000
 4020.000000 -15525.00000
 4040.000000 -70185.00000
 4060.000000 -7996.000000
 4080.000000 -93236.00000
 4100.000000 -31373.00000
 4120.000000 -10871.00000
 4140.000000 -57737.00000
 4160.000000 -15977.00000
 4180.000000 -128432.0000
 4200.000000 -2048.000000
 4220.000000 -41531.00000
 4240.000000 -26832.00000
 4260.000000 -94252.00000
 4280.000000 -9801.000000
 4300.000000 -36800.00000
 4320.000000 -44101.00000
 4340.000000 -42607.00000
 4360.000000 -34806.00000
 4380.000000 -86729.00000
 4400.000000 -28319.00000
 4420.000000 -28511.00000
 4440.000000 -58359.00000
 4460.000000 -81280.00000
 4480.000000 -5776.000000
 4500.000000 -39301.00000
 4520.000000 -19641.00000
 4540.000000 -71712.00000
 4560.000000 -55637.00000
 4580.000000 -34651.00000
 4600.000000 -44225.00000
 4620.000000 -51253.00000
 4640.000000 -60361.00000
 4660.000000 -48910.00000
 4680.000000 -24723.00000
 4700.000000 -71800.00000
 4720.000000 -16056.00000
 4740.000000 -73788.00000
 4760.000000 -45116.00000
 4780.000000 -28403.00000
 4800.000000 -87286.00000
 4820.000000 7357.000000
 4840.000000 -38774.00000
 4860.000000 -57545.00000
 4880.000000 -6653.000000
 4900.000000 -59471.00000
 4920.000000 -81475.00000
 4940.000000 -51709.00000
 4960.000000 -56115.00000
 4980.000000 -13867.00000
 5000.000000 -46304.00000
 5020.000000 -40706.00000
 5040.000000 -56401.00000
 5060.000000 -25630.00000
 5080.000000 -55309.00000
 5100.000000 -61312.00000
 5120.000000 -51344.00000
 5140.000000 -52015.00000
 5160.000000 -22611.00000
 5180.000000 -40066.00000
 5200.000000 -59464.00000
 5220.000000 -10228.00000
 5240.000000 -41189.00000
 5260.000000 -82191.00000
 5280.000000 -73948.00000
 5300.000000 -17266.00000
 5320.000000 -17864.00000
 5340.000000 -100819.0000
 5360.000000 -21762.00000
 5380.000000 -16949.00000
 5400.000000 -26369.00000
 5420.000000 -40910.00000
 5440.000000 -53901.00000
 5460.000000 -49135.00000
 5480.000000 -26792.00000
 5500.000000 -16670.00000
 5520.000000 -76925.00000
 5540.000000 -92841.00000
 5560.000000 47854.00000
 5580.000000 -64521.00000
 5600.000000 -48515.00000
 5620.000000 -104781.0000
 5640.000000 -81959.00000
 5660.000000 -45426.00000
 5680.000000 -18695.00000
 5700.000000 -167258.0000
 5720.000000 30014.00000
 5740.000000 -33009.00000
 5760.000000 -112499.0000
 5780.000000 -18938.00000
 5800.000000 -16267.00000
 5820.000000 62496.00000
 5840.000000 -78512.00000
 5860.000000 -83074.00000
 5880.000000 -60217.00000
 5900.000000 53357.00000
 5920.000000 -78085.00000
 5940.000000 -30667.00000
 5960.000000 28777.00000
 5980.000000 -120278.0000
 6000.000000 -88222.00000
 6020.000000 -95177.00000
 6040.000000 -67623.00000
 6060.000000 -594.0000000
 6080.000000 -2514.000000
 6100.000000 -138073.0000
 6120.000000 -11216.00000
 6140.000000 -25069.00000
 6160.000000 14716.00000
 6180.000000 -75542.00000
 6200.000000 -50882.00000
 6220.000000 -87232.00000
 6240.000000 -43761.00000
 6260.000000 -30408.00000
 6280.000000 -66061.00000
 6300.000000 29285.00000
 6320.000000 42773.00000
 6340.000000 -88716.00000
 6360.000000 -126520.0000
 6380.000000 -41097.00000
 6400.000000 -50607.00000
 6420.000000 -12448.00000
 6440.000000 -113399.0000
 6460.000000 -109265.0000
 6480.000000 7201.000000
 6500.000000 27818.00000
 6520.000000 -134690.0000
 6540.000000 -25330.00000
 6560.000000 -122465.0000
 6580.000000 -55484.00000
 6600.000000 -6158.000000
