#Sea surface temp averaged over NINO3 region, format= 3F8.2
#(NINO3 region = 150-90W, 5S-5N)
#Data from UKMO GISST2.3 (1871-1996) and Reynolds SST (Jan 1997-)
#Time(A.D.)  SST(degC)
1871.04 25.04
1871.12 26.20
1871.21 26.99
1871.29 27.33
1871.38 26.38
1871.46 25.90
1871.54 25.09
1871.62 24.59
1871.71 24.66
1871.79 24.48
1871.88 24.62
1871.96 24.21
1872.04 25.19
1872.12 25.56
1872.21 26.55
1872.29 26.73
1872.38 26.08
1872.46 25.71
1872.54 24.86
1872.62 24.19
1872.71 24.23
1872.79 24.00
1872.88 24.04
1872.96 24.10
1873.04 24.62
1873.12 25.43
1873.21 25.78
1873.29 26.29
1873.38 26.29
1873.46 25.75
1873.54 24.84
1873.62 24.71
1873.71 24.28
1873.79 24.01
1873.88 24.11
1873.96 24.28
1874.04 24.57
1874.12 25.13
1874.21 25.86
1874.29 26.10
1874.38 26.40
1874.46 25.69
1874.54 24.34
1874.62 23.96
1874.71 23.89
1874.79 24.04
1874.88 23.85
1874.96 24.11
1875.04 25.05
1875.12 25.92
1875.21 26.47
1875.29 26.78
1875.38 26.26
1875.46 25.99
1875.54 24.94
1875.62 24.28
1875.71 24.12
1875.79 24.23
1875.88 24.02
1875.96 24.13
1876.04 24.29
1876.12 25.03
1876.21 25.71
1876.29 25.99
1876.38 25.86
1876.46 26.24
1876.54 25.47
1876.62 24.84
1876.71 24.94
1876.79 25.11
1876.88 25.29
1876.96 25.52
1877.04 25.69
1877.12 26.67
1877.21 27.50
1877.29 28.19
1877.38 28.07
1877.46 27.25
1877.54 27.10
1877.62 27.06
1877.71 27.12
1877.79 27.17
1877.88 27.21
1877.96 27.66
1878.04 28.09
1878.12 28.91
1878.21 28.70
1878.29 28.17
1878.38 27.66
1878.46 27.08
1878.54 25.56
1878.62 24.95
1878.71 24.69
1878.79 24.76
1878.88 24.70
1878.96 24.89
1879.04 25.45
1879.12 25.79
1879.21 26.41
1879.29 26.59
1879.38 26.11
1879.46 25.66
1879.54 25.04
1879.62 24.43
1879.71 24.29
1879.79 24.25
1879.88 23.99
1879.96 24.11
1880.04 24.61
1880.12 25.85
1880.21 26.77
1880.29 27.26
1880.38 26.85
1880.46 26.07
1880.54 25.33
1880.62 25.00
1880.71 25.11
1880.79 25.23
1880.88 25.37
1880.96 25.45
1881.04 25.98
1881.12 26.76
1881.21 27.47
1881.29 27.76
1881.38 27.09
1881.46 26.41
1881.54 25.29
1881.62 24.68
1881.71 24.49
1881.79 24.54
1881.88 24.40
1881.96 24.59
1882.04 24.93
1882.12 25.78
1882.21 26.69
1882.29 27.25
1882.38 26.76
1882.46 25.80
1882.54 24.73
1882.62 24.25
1882.71 24.19
1882.79 24.42
1882.88 24.30
1882.96 24.49
1883.04 24.95
1883.12 25.89
1883.21 26.93
1883.29 27.54
1883.38 26.88
1883.46 26.54
1883.54 25.61
1883.62 24.79
1883.71 24.64
1883.79 24.89
1883.88 25.29
1883.96 24.92
1884.04 25.27
1884.12 26.11
1884.21 27.11
1884.29 27.87
1884.38 27.09
1884.46 26.30
1884.54 25.43
1884.62 25.03
1884.71 25.20
1884.79 25.54
1884.88 25.62
1884.96 25.81
1885.04 25.90
1885.12 26.54
1885.21 27.01
1885.29 27.55
1885.38 27.13
1885.46 26.12
1885.54 25.42
1885.62 25.17
1885.71 25.20
1885.79 25.61
1885.88 25.89
1885.96 26.06
1886.04 25.66
1886.12 25.86
1886.21 26.22
1886.29 26.59
1886.38 25.76
1886.46 25.46
1886.54 24.51
1886.62 23.98
1886.71 24.09
1886.79 23.99
1886.88 23.81
1886.96 23.97
1887.04 24.53
1887.12 25.50
1887.21 26.46
1887.29 27.06
1887.38 26.33
1887.46 26.17
1887.54 25.21
1887.62 24.78
1887.71 24.69
1887.79 24.82
1887.88 24.83
1887.96 25.25
1888.04 25.64
1888.12 26.64
1888.21 27.50
1888.29 28.02
1888.38 27.70
1888.46 27.23
1888.54 26.37
1888.62 25.90
1888.71 26.16
1888.79 26.38
1888.88 26.59
1888.96 27.06
1889.04 27.42
1889.12 27.83
1889.21 28.21
1889.29 28.07
1889.38 27.19
1889.46 26.28
1889.54 24.82
1889.62 24.03
1889.71 23.76
1889.79 23.86
1889.88 24.04
1889.96 24.02
1890.04 24.63
1890.12 24.95
1890.21 26.54
1890.29 26.85
1890.38 26.46
1890.46 25.99
1890.54 24.97
1890.62 24.32
1890.71 24.31
1890.79 24.15
1890.88 23.96
1890.96 24.46
1891.04 25.41
1891.12 26.22
1891.21 27.26
1891.29 27.84
1891.38 27.59
1891.46 27.09
1891.54 26.16
