Tropical Solar Radiative Forcing
Column 1: Calendar Year AD
Column 2: Tropical Solar Radiative Forcing Anomaly, W/m2
   Year     Solar Radiative Forcing
   1000     0.044
   1001     0.042
   1002     0.041
   1003      0.04
   1004     0.039
   1005     0.033
   1006     0.026
   1007      0.02
   1008     0.014
   1009     0.008
   1010     0.002
   1011    -0.004
   1012    -0.011
   1013    -0.014
   1014    -0.017
   1015     -0.02
   1016    -0.023
   1017    -0.026
   1018    -0.029
   1019    -0.032
   1020    -0.035
   1021    -0.038
   1022    -0.041
   1023    -0.044
   1024    -0.047
   1025    -0.051
   1026    -0.053
   1027    -0.057
   1028     -0.06
   1029    -0.063
   1030    -0.066
   1031    -0.069
   1032    -0.073
   1033    -0.076
   1034    -0.079
   1035    -0.082
   1036    -0.084
   1037    -0.086
   1038    -0.087
   1039    -0.089
   1040    -0.091
   1041    -0.093
   1042    -0.094
   1043    -0.096
   1044    -0.098
   1045    -0.099
   1046      -0.1
   1047    -0.101
   1048    -0.102
   1049    -0.103
   1050    -0.104
   1051    -0.106
   1052    -0.107
   1053    -0.108
   1054    -0.109
   1055    -0.108
   1056    -0.108
   1057    -0.108
   1058    -0.107
   1059    -0.107
   1060    -0.106
   1061    -0.106
   1062    -0.105
   1063    -0.097
   1064    -0.089
   1065    -0.081
   1066    -0.072
   1067    -0.064
   1068    -0.056
   1069    -0.048
   1070     -0.04
   1071    -0.032
   1072    -0.024
   1073    -0.015
   1074    -0.007
   1075     0.001
   1076     0.006
   1077     0.012
   1078     0.018
   1079     0.024
   1080     0.029
   1081     0.035
   1082     0.041
   1083     0.046
   1084     0.048
   1085      0.05
   1086     0.053
   1087     0.055
   1088     0.057
   1089     0.059
   1090     0.061
   1091     0.063
   1092     0.065
   1093     0.068
   1094     0.071
   1095     0.074
   1096     0.077
   1097     0.079
   1098     0.082
   1099     0.085
   1100     0.088
   1101     0.091
   1102     0.094
   1103     0.096
   1104     0.099
   1105     0.102
   1106     0.105
   1107     0.108
   1108     0.111
   1109     0.118
   1110     0.126
   1111     0.133
   1112     0.141
   1113     0.148
   1114     0.156
   1115     0.156
   1116     0.157
   1117     0.157
   1118     0.157
   1119     0.158
   1120     0.158
   1121     0.159
   1122     0.159
   1123     0.159
   1124      0.16
   1125     0.161
   1126     0.162
   1127     0.162
   1128     0.164
   1129     0.165
   1130     0.166
   1131     0.167
   1132     0.168
   1133     0.171
   1134     0.175
   1135     0.177
   1136     0.179
   1137     0.181
   1138     0.182
   1139     0.183
   1140     0.183
   1141     0.184
   1142     0.184
   1143     0.185
   1144     0.185
   1145     0.186
   1146     0.186
   1147     0.185
   1148     0.183
   1149     0.181
   1150      0.18
   1151     0.178
   1152     0.176
   1153     0.174
   1154     0.173
   1155     0.171
   1156     0.165
   1157     0.162
   1158     0.156
   1159      0.15
   1160     0.146
   1161     0.141
   1162     0.143
   1163     0.145
   1164     0.148
   1165      0.15
   1166     0.152
   1167     0.149
   1168     0.147
   1169     0.144
   1170     0.141
   1171     0.138
   1172     0.135
   1173     0.132
   1174     0.129
   1175     0.131
   1176     0.132
   1177     0.133
   1178     0.135
   1179     0.136
   1180     0.137
