time(sec)	intensity(nT)
9400.0	52361.7	
9399.5	52360.9	
9399.0	52352.3	
9398.5	52325.2	
9398.0	52303.6	
9397.5	52289.7	
9397.0	52282.9	
9396.5	52274.8	
9396.0	52267.8	
9395.5	52261.2	
9395.0	52259.9	
9394.5	52265.5	
9394.0	52269.8	
9393.5	52266.2	
9393.0	52258.3	
9392.5	52244.5	
9392.0	52231.1	
9391.5	52213.2	
9391.0	52207.8	
9390.5	52212.5	
9390.0	52220.5	
9389.5	52221.4	
9389.0	52218.8	
9388.5	52213.5	
9388.0	52218.1	
9387.5	52228.9	
9387.0	52245.0	
9386.5	52250.2	
9386.0	52247.5	
9385.5	52244.7	
9385.0	52257.1	
9384.5	52265.9	
9384.0	52263.2	
9383.5	52270.6	
9383.0	52266.4	
9382.5	52274.0	
9382.0	52281.1	
9381.5	52274.9	
9381.0	52260.6	
9380.5	52251.3	
9380.0	52232.1	
9379.5	52224.1	
9379.0	52229.3	
9378.5	52232.0	
9378.0	52227.4	
9377.5	52226.3	
9377.0	52225.0	
9376.5	52226.1	
9376.0	52227.6	
9375.5	52227.7	
9375.0	52241.0	
9374.5	52247.2	
9374.0	52234.9	
9373.5	52216.6	
9373.0	52189.4	
9372.5	52174.0	
9372.0	52165.0	
9371.5	52158.3	
9371.0	52151.8	
9370.5	52133.9	
9370.0	52114.8	
9369.5	52096.4	
9369.0	52087.0	
9368.5	52093.6	
9368.0	52089.0	
9367.5	52056.9	
9367.0	52037.9	
9366.5	52029.9	
9366.0	52029.1	
9365.5	52047.0	
9365.0	52077.2	
9364.5	52108.7	
9364.0	52122.9	
9363.5	52134.8	
9363.0	52121.4	
9362.5	52142.4	
9362.0	52192.5	
9361.5	52211.3	
9361.0	52223.6	
9360.5	52242.0	
9360.0	52278.1	
9359.5	52302.3	
9359.0	52312.6	
9358.5	52321.3	
9358.0	52324.5	
9357.5	52326.8	
9357.0	52327.5	
9356.5	52326.5	
9356.0	52322.2	
9355.5	52323.9	
9355.0	52321.5	
9354.5	52326.8	
9354.0	52326.8	
9353.5	52319.9	
9353.0	52314.5	
9352.5	52313.9	
9352.0	52322.3	
9351.5	52330.4	
9351.0	52329.4	
9350.5	52318.9	
9350.0	52299.7	
9349.5	52285.6	
9349.0	52289.1	
9348.5	52304.9	
9348.0	52314.9	
9347.5	52316.1	
9347.0	52310.1	
9346.5	52299.5	
9346.0	52287.8	
9345.5	52240.0	
9345.0	52216.2	
9344.5	52212.5	
9344.0	52212.4	
9343.5	52234.3	
9343.0	52269.9	
9342.5	52298.9	
9342.0	52299.2	
9341.5	52290.3	
9341.0	52287.7	
9340.5	52296.0	
9340.0	52306.2	
9339.5	52313.5	
9339.0	52318.6	
9338.5	52329.1	
9338.0	52327.4	
9337.5	52328.1	
9337.0	52335.4	
9336.5	52346.1	
9336.0	52355.4	
9335.5	52359.6	
9335.0	52366.6	
9334.5	52369.1	
9334.0	52368.5	
9333.5	52375.9	
9333.0	52383.7	
9332.5	52381.0	
9332.0	52370.4	
9331.5	52365.0	
9331.0	52375.5	
9330.5	52400.5	
9330.0	52428.3	
9329.5	52440.4	
9329.0	52457.2	
9328.5	52466.1	
9328.0	52470.2	
9327.5	52475.1	
9327.0	52475.8	
9326.5	52476.9	
9326.0	52486.9	
9325.5	52487.6	
9325.0	52491.7	
9324.5	52502.0	
9324.0	52524.1	
9323.5	52558.8	
9323.0	52578.7	
9322.5	52573.5	
9322.0	52551.2	
9321.5	52542.2	
9321.0	52542.7	
9320.5	52548.0	
9320.0	52562.6	
9319.5	52576.0	
9319.0	52563.4	
9318.5	52541.0	
9318.0	52519.9	
9317.5	52499.7	
9317.0	52487.2	
9316.5	52475.5	
9316.0	52456.4	
9315.5	52426.0	
9315.0	52422.6	
9314.5	52424.4	
9314.0	52418.6	
9313.5	52409.8	
9313.0	52390.4	
9312.5	52363.8	
9312.0	52351.7	
9311.5	52365.6	
9311.0	52371.4	
9310.5	52362.0	
9310.0	52335.5	
9309.5	52325.9	
9309.0	52337.5	
9308.5	52357.1	
9308.0	52376.3	
9307.5	52374.2	
9307.0	52359.2	
9306.5	52361.2	
9306.0	52368.7	
9305.5	52369.2	
9305.0	52379.7	
9304.5	52386.8	
9304.0	52384.8	
9303.5	52380.6	
9303.0	52380.6	
9302.5	52386.9	
9302.0	52387.4	
9301.5	52381.6	
9301.0	52384.8	
9300.5	52389.2	
9300.0	52392.9	
9299.5	52390.5	
9299.0	52386.3	
9298.5	52395.4	
9298.0	52410.7	
9297.5	52438.2	
9297.0	52480.6	
9296.5	52518.6	
9296.0	52555.3	
9295.5	52563.5	
9295.0	52537.5	
9294.5	52506.0	
9294.0	52482.1	
9293.5	52468.5	
9293.0	52426.3	
9292.5	52404.2	
9292.0	52392.3	
9291.5	52382.8	
9291.0	52384.7	
9290.5	52379.2	
9290.0	52386.3	
9289.5	52396.6	
9289.0	52387.7	
9288.5	52358.7	
9288.0	52345.5	
9287.5	52352.8	
9287.0	52367.8	
9286.5	52390.2	
9286.0	52418.1	
9285.5	52453.7	
9285.0	52478.0	
9284.5	52506.6	
9284.0	52524.8	
9283.5	52524.0	
9283.0	52530.7	
9282.5	52544.9	
9282.0	52551.0	
9281.5	52552.1	
9281.0	52555.0	
9280.5	52539.4	
9280.0	52519.8	
9279.5	52511.7	
9279.0	52501.4	
9278.5	52490.4	
9278.0	52485.7	
9277.5	52480.4	
9277.0	52471.8	
9276.5	52457.3	
9276.0	52460.6	
9275.5	52464.5	
9275.0	52453.7	
9274.5	52439.2	
9274.0	52444.5	
9273.5	52449.7	
9273.0	52442.8	
9272.5	52438.7	
9272.0	52436.5	
9271.5	52430.9	
9271.0	52420.7	
9270.5	52410.6	
9270.0	52408.6	
9269.5	52418.4	
9269.0	52426.9	
9268.5	52429.0	
9268.0	52432.5	
