year,month,day,latitude,longitude,depth,mag
2021,4,10,-3.4527,145.7212,10,6
2021,4,10,4.1069,124.6681,311.31,6.1
2021,4,10,-8.5622,112.519,82.28,6
2021,4,7,-29.1007,-176.6725,10,6
2021,4,5,-37.5205,179.6745,10,6
2021,4,3,-57.9898,-7.8147,10,6.6
2021,4,1,-21.8027,-179.3845,593.89,6
2021,4,1,-29.9502,-177.6507,20,6.5
2021,3,20,38.4754,141.6328,43,7
2021,3,20,-59.6179,150.3277,10,6
2021,3,20,47.2974,-27.2713,8,6
2021,3,18,36.9202,5.2011,8,6
2021,3,16,54.7368,163.1803,13.23,6.6
2021,3,14,-59.883,-29.4687,10,6
2021,3,13,-28.1479,-176.6448,14,6
2021,3,6,-28.2896,-177.6283,10,6.1
2021,3,6,-28.3565,-177.8739,15,6.2
2021,3,6,-28.4217,-177.7664,10,6.2
2021,3,6,-28.6263,-177.0009,10,6.1
2021,3,6,-37.5608,179.567,13,6.3
2021,3,5,-28.8983,-176.6099,14,6.2
2021,3,5,-28.749,-176.5578,17,6.3
2021,3,4,-28.5039,-176.6575,24,6.5
2021,3,4,-28.3867,-176.6895,10,6.1
2021,3,4,-29.7228,-177.2794,28.93,8.1
2021,3,4,-29.6768,-177.8398,43,7.4
2021,3,4,-14.464,167.32,173.3,6.1
2021,3,4,-37.5459,179.3587,10,7.3
2021,3,3,39.7547,22.1756,8,6.3
2021,2,18,-14.8373,-176.7574,3.7,6.1
2021,2,18,-18.9521,168.0662,14,6.1
2021,2,17,-23.184,171.7786,12,6.1
2021,2,16,-17.8292,167.5413,13,6.2
2021,2,13,37.7534,141.7145,44.07,7.1
2021,2,11,-23.3358,171.8122,10.56,6
2021,2,10,-23.1911,171.5827,12,6.3
2021,2,10,-22.7173,171.213,14,6.1
2021,2,10,-22.8106,171.173,11.69,6.1
2021,2,10,-23.0511,171.6566,10,7.7
2021,2,10,-22.7415,171.6432,10,6.1
2021,2,10,-5.6856,101.6495,10,6.3
2021,2,10,-22.8327,171.6556,11,6.1
2021,2,7,-3.3226,146.1444,10,6.3
2021,2,7,6.7693,125.1011,16,6
2021,2,3,-36.2797,-97.8,10,6.7
2021,1,23,-61.8098,-55.5027,15,6.9
2021,1,21,4.9931,127.5145,80,7
2021,1,19,-31.8334,-68.7992,20.81,6.4
2021,1,14,-2.9717,118.8899,18,6.2
2021,1,11,51.2811,100.4383,10,6.7
2021,1,10,-16.0347,167.8826,160,6.1
2021,1,10,-24.0412,-66.5729,217,6.1
2021,1,8,-20.7367,169.8821,113,6.1
2021,1,8,-29.4295,-178.744,224,6.3
2021,1,6,0.0658,122.9487,148,6.1
2021,1,6,-28.6357,-177.2713,38.49,6.2
2021,1,3,51.2199,-179.793,21,6.1
2020,12,29,45.4244,16.2573,10,6.4
2020,12,27,-39.3398,-74.9849,10,6.7
2020,12,24,13.82,120.6539,109,6.3
2020,12,23,6.2544,133.6362,11,6.1
2020,12,20,40.8667,142.5814,35,6.3
2020,12,15,5.1789,125.4212,14,6.1
2020,12,14,-21.8063,-68.7079,114,6
2020,12,10,24.7818,122.0243,71,6.1
2020,12,6,-20.3947,-69.0609,105,6.1
2020,12,1,-61.9496,154.7341,10,6
2020,12,1,52.7551,-168.2401,23,6.4
2020,11,30,-24.3221,-67.0048,189,6.3
2020,11,30,48.2521,140.7971,589,6.4
2020,11,22,-34.5978,-73.0596,22,6.1
2020,11,17,-2.6706,99.3227,19,6
2020,11,15,8.7572,126.2914,43,6
2020,11,11,-19.7177,-177.561,417,6
2020,11,7,-15.2458,-173.5276,34,6.2
2020,11,3,-44.4111,-79.375,10,6
2020,10,30,37.8973,26.7838,21,7
2020,10,23,-25.634,-179.9621,454,6.1
2020,10,19,54.602,-159.6258,28.37,7.6
2020,10,8,-6.0942,146.1738,106,6.3
2020,10,1,-5.9961,148.6656,74,6.1
2020,10,1,-19.5385,-174.1217,28,6.4
2020,9,26,-48.0249,31.7404,10,6.1
2020,9,18,0.9298,-26.8533,10,6.9
2020,9,15,55.9733,158.3783,344,6.4
2020,9,12,38.7482,142.2446,34,6.1
2020,9,11,-21.3968,-69.9096,51,6.2
2020,9,7,-17.1102,168.5034,10,6.2
2020,9,6,6.2693,125.8285,120,6.3
2020,9,6,7.6829,-37.1544,10,6.7
2020,9,6,-17.1562,167.5321,10,6.2
2020,9,6,-30.3388,-71.4912,30,6.3
2020,9,1,-27.9162,-71.3701,16,6.5
2020,9,1,-28.0315,-71.2662,16.18,6.3
2020,9,1,-27.9686,-71.3062,21,6.8
2020,8,31,-4.0158,70.1973,10,6.1
2020,8,30,0.7821,-29.8656,10,6.5
2020,8,25,-5.5454,151.8365,22,6.2
2020,8,25,-5.5579,151.8638,23,6
2020,8,24,9.5785,-84.6376,20,6
2020,8,21,-6.71,123.4649,624,6.9
2020,8,18,-4.2069,101.2411,26,6.9
2020,8,18,-4.3217,101.1347,22,6.8
2020,8,18,12.0257,124.1272,10,6.6
2020,8,12,-7.3327,39.8126,17.55,6
2020,8,6,-41.6794,42.4486,10,6.3
2020,8,5,-16.0944,168.065,181.88,6.4
2020,8,1,-3.1951,148.6496,10,6.1
2020,8,1,7.2932,124.1331,483,6.4
2020,7,28,54.7905,-161.2041,35.15,6.1
2020,7,26,-60.7833,-25.413,10,6.4
2020,7,22,33.1438,86.8637,10,6.3
2020,7,22,54.969,-159.0413,16.53,6.1
2020,7,22,55.0715,-158.596,28,7.8
2020,7,21,-20.8045,-178.6325,605.2,6
2020,7,18,-15.2553,-172.694,12,6.1
2020,7,17,11.8485,94.9362,10,6.1
2020,7,17,-7.836,147.7704,73,7
2020,7,6,-5.6023,110.6893,533.76,6.6
2020,7,6,12.0809,140.2476,10,6.2
2020,6,25,35.5948,82.4158,10,6.3
2020,6,23,15.8861,-96.0077,20,7.4
2020,6,23,0.0368,123.7866,109,6
2020,6,21,66.381,-18.707,10,6
2020,6,18,-33.2927,-177.8571,10,7.4
2020,6,13,18.9317,145.1116,622,6.2
2020,6,13,28.8591,128.2713,165,6.6
2020,6,10,-15.8069,-13.0363,10,6
2020,6,4,2.911,128.248,112.86,6.4
2020,6,3,-24.6746,-176.7113,69.85,6
2020,6,3,-23.274,-68.4677,112,6.8
2020,5,31,-15.3256,-70.7731,186,6.1
2020,5,28,-22.2146,-174.4196,10,6
2020,5,27,-17.5304,167.8743,9.73,6.2
2020,5,22,22.4152,-108.1275,10,6.1
2020,5,15,38.1689,-117.8497,2.7,6.5
2020,5,12,-12.0665,166.6485,107,6.6
2020,5,7,-4.4643,154.741,471.17,6.1
2020,5,6,-6.7761,129.7852,96,6.8
2020,5,2,34.1818,25.7101,10,6.5
2020,4,25,-6.5337,154.2347,19,6.1
2020,4,19,38.8953,142.0049,38,6.3
2020,4,18,27.1264,140.1349,453,6.6
2020,4,16,16.9591,-85.6851,12,6.1
2020,4,14,-30.3889,-176.3478,31,6
2020,4,12,-36.9558,77.393,10,6.1
2020,4,5,1.395,126.4381,42,6
2020,3,31,44.4646,-115.1175,12.06,6.5
2020,3,26,5.5669,125.0521,59,6.1
2020,3,25,48.9638,157.6955,57.8,7.5
2020,3,22,-4.6744,-104.9519,10,6.1
2020,3,18,-11.0521,115.1378,20.68,6.2
2020,3,18,-13.1364,167.0277,176,6.1
2020,3,17,-16.0252,-172.1911,10,6
2020,3,14,-27.367,-175.6102,11,6.4
2020,3,6,-31.368,58.3242,10,6
2020,2,26,-7.4887,131.1196,54,6
2020,2,23,38.4958,44.3732,10,6
2020,2,13,45.6161,148.959,143,7
2020,2,9,-5.4925,152.1522,34,6.1
2020,2,8,-59.9212,-25.5526,16,6
2020,2,6,5.4543,126.5692,19,6
2020,2,5,-6.0817,113.0778,592.42,6.2
2020,1,29,-10.418,161.2756,85,6
2020,1,28,18.9457,-80.7411,10,6.1
2020,1,28,19.4193,-78.756,14.86,7.7
2020,1,27,-10.0929,161.0606,21,6.3
2020,1,26,51.1338,-179.8892,17,6.1
2020,1,24,38.4312,39.0609,10,6.7
2020,1,23,51.9836,-177.855,10,6.2
2020,1,20,-59.2277,-26.282,93,6.1
2020,1,19,-0.1042,123.8025,121.72,6.1
2020,1,19,39.8353,77.1084,5.55,6
2020,1,18,-2.8405,139.3363,44,6
2020,1,9,62.358,171.0611,10,6.4
2020,1,7,-5.2046,151.2659,117,6
2020,1,7,17.9,-66.8,7,6.6
2020,1,7,17.8686,-66.8266,8.95,6.4
2020,1,7,2.3481,96.3575,17,6.3
2019,12,25,-25.2226,-115.8438,10,6.1
2019,12,25,50.6106,-129.963,6.58,6.3
2019,12,24,3.5359,-74.0176,11,6
2019,12,24,-26.964,-63.3857,572.44,6
2019,12,23,50.5169,-129.7573,10,6
2019,12,23,50.6071,-129.9372,10,6
2019,12,20,36.5374,70.4555,212,6.1
2019,12,15,6.6969,125.1739,18,6.8
2019,12,14,-14.3628,167.7089,7.51,6
2019,12,6,-15.2594,-175.1035,10,6
2019,12,4,-19.0677,169.5748,266,6
2019,12,3,-18.5042,-70.576,38,6
2019,12,2,51.1867,-178.1001,28,6
2019,11,27,35.7174,23.2284,69,6
2019,11,26,41.5138,19.5256,22,6.4
2019,11,24,51.3808,-175.5115,20,6.3
2019,11,23,1.6436,132.8148,5,6.2
2019,11,20,19.4533,101.3558,10,6.2
2019,11,20,53.128,153.6799,496,6.3
2019,11,20,13.8859,-93.2068,15,6.3
2019,11,14,1.5361,126.4161,23,6
2019,11,14,1.6213,126.4156,33,7.1
2019,11,11,-18.8625,-175.3675,10,6.2
2019,11,8,-21.9449,-179.5113,577,6.5
2019,11,6,-13.7208,167.8086,10,6
2019,11,5,-13.7988,167.7494,19,6
2019,11,5,-57.9236,-9.3217,10,6.3
2019,11,4,-18.5747,-175.272,10,6.6
2019,11,4,-31.8362,-71.3753,53,6.1
2019,11,2,-55.735,-26.2399,8,6.1
2019,10,31,6.9098,125.1782,10,6.5
2019,10,29,6.7567,125.0082,15,6.6
2019,10,23,-1.0987,-13.8367,10,6.3
2019,10,21,-19.0184,169.4883,231,6.4
2019,10,16,6.7147,125.007,16.12,6.4
2019,10,1,-55.9278,-122.5586,10,6
2019,9,29,-35.4758,-73.163,11,6.7
2019,9,29,5.6756,126.5481,73,6.2
2019,9,27,-30.1733,-177.8625,34,6.1
2019,9,26,-40.8145,-71.9993,129,6.1
2019,9,25,-3.4528,128.3699,12.26,6.5
2019,9,24,-33.8212,56.2997,10,6
2019,9,24,19.077,-67.2701,10,6
2019,9,19,-6.0708,111.8422,610,6.1
2019,9,1,-20.3641,-178.5701,591,6.6
2019,8,29,43.5425,-127.8817,10,6.3
2019,8,27,-60.2152,-26.5801,16,6.6
2019,8,24,-14.309,167.1897,115,6
2019,8,21,-50.3302,139.324,10,6
2019,8,20,-11.3683,166.2912,37,6
2019,8,4,37.7594,141.6031,38,6.3
2019,8,2,-7.2822,104.7907,49,6.9
2019,8,2,-49.7307,-113.8331,10,6
2019,8,1,-34.2364,-72.3102,25,6.8
2019,7,31,-16.1985,167.9982,181,6.6
2019,7,27,33.1492,137.3029,367,6.3
2019,7,26,20.8373,121.9744,9,6
2019,7,23,-61.2867,154.1145,10,6
2019,7,15,-5.9707,149.4881,42,6.3
2019,7,14,-0.5858,128.034,18.98,7.2
2019,7,14,-18.2242,120.3584,10,6.6
2019,7,13,29.3533,128.1534,251,6.1
2019,7,11,-4.6408,155.2241,495.17,6
2019,7,7,0.5126,126.1892,35,6.9
2019,7,6,35.7695,-117.5993333,8,7.1
2019,7,4,35.7053333,-117.5038333,10.5,6.4
2019,7,4,51.2369,-130.5005,10,6.2
2019,7,1,-15.4403,167.531,91,6
2019,6,28,19.8515,144.3477,410,6.4
2019,6,27,-30.3961,-179.182,10,6.3
2019,6,26,8.4612,-82.754,32.58,6.2
2019,6,26,56.1821,164.0881,10,6.3
2019,6,25,56.202,164.2327,10,6.4
2019,6,24,-6.4078,129.1692,212,7.3
2019,6,24,-2.7756,138.5675,28,6.1
2019,6,21,-30.8591,-177.4681,14,6.2
2019,6,19,-2.2656,138.461,10,6.3
2019,6,19,-30.5243,-177.8482,30,6.4
2019,6,18,38.6391,139.4769,12,6.4
2019,6,17,-30.8389,-177.481,12,6.1
2019,6,16,-31.0004,-178.0819,21,6.3
2019,6,15,-30.6441,-178.0995,46,7.3
2019,6,15,-21.1807,-174.169,13,6.1
2019,6,14,-30.0557,-72.0819,11,6.4
2019,6,4,29.0665,139.289,422,6.4
2019,6,2,-21.2068,-173.9096,10,6
2019,5,31,6.2795,126.479,98.72,6.1
2019,5,30,-21.7541,-176.3171,177.85,6
2019,5,30,13.1994,-89.3056,57.92,6.6
2019,5,26,-5.8119,-75.2697,122.57,8
2019,5,23,51.3078,-178.2387,30,6
2019,5,19,-21.6074,169.4692,20,6.3
2019,5,19,-21.7313,169.5758,16,6
2019,5,19,-21.6619,169.7779,20,6.3
2019,5,14,-4.051,152.5967,10,7.6
2019,5,12,8.625,-82.8298,19,6
2019,5,9,31.7772,131.8483,22,6.2
2019,5,6,-6.9746,146.4494,146,7.1
2019,5,3,-6.9478,160.1125,27,6.2
2019,4,29,10.8649,57.2283,10,6.3
2019,4,23,-24.7059,-178.7639,385.58,6
2019,4,23,11.7547,125.2013,56,6.4
2019,4,22,-56.2633,-27.3509,79,6
2019,4,22,14.9538,120.5149,21.84,6.1
2019,4,18,-51.127,139.321,10,6.3
2019,4,18,24.0374,121.6501,20,6.1
2019,4,12,-6.4883,148.7394,30,6
2019,4,12,-15.4067,-172.8171,15.36,6
2019,4,12,-1.8146,122.5798,15.46,6.8
2019,4,11,40.4096,143.2985,18,6
2019,4,9,-58.6262,-25.304,38,6.5
2019,4,6,-6.8285,125.0416,539,6.3
2019,4,5,-55.9308,-27.8522,57,6.4
2019,4,2,52.1702,178.0709,7.98,6.4
2019,4,1,-18.2058,65.3656,10,6
2019,3,31,-1.9446,-80.8101,18,6.2
2019,3,30,-5.7003,151.1053,41,6.2
2019,3,28,50.4951,159.943,9,6.2
2019,3,24,1.6601,126.3955,45,6.1
2019,3,23,4.5595,-76.223,122,6.1
2019,3,20,-15.5965,167.6551,119,6.3
2019,3,15,-17.8744,-65.9072,359,6.3
2019,3,10,-10.1317,152.0647,9,6
2019,3,10,-17.8915,-178.6034,578.19,6.2
2019,3,8,10.384,126.006,30,6
2019,3,6,-32.0238,-177.8845,29,6.4
2019,3,1,-14.7131,-70.1546,267,7
2019,2,22,-2.1862,-77.0505,145,7.5
2019,2,17,-3.3412,152.1319,368.12,6.4
2019,2,14,35.4267,-36.0378,10,6.2
2019,2,12,19.02,145.7965,144.32,6
2019,2,2,-2.8462,100.0743,20,6
2019,2,1,14.6802,-92.4527,66,6.7
2019,1,26,-21.0475,-178.9592,588,6.2
2019,1,26,-7.0089,156.3207,355,6.2
2019,1,22,-43.1219,42.3568,13,6.7
2019,1,22,-10.4148,119.0165,24,6.3
2019,1,21,-10.3278,119.1521,26,6
2019,1,20,-30.0404,-71.3815,63,6.7
2019,1,18,-19.2036,168.7446,38.67,6
2019,1,17,-3.2307,146.3889,10,6.2
2019,1,15,-13.336,166.8752,35,6.6
2019,1,8,30.5872,131.0441,35,6.3
2019,1,6,2.258,126.758,43.21,6.6
2019,1,5,-8.144,-71.587,570.41,6.8
2018,12,31,54.4266,-161.5131,31,6
2018,12,29,5.8983,126.9209,60.21,7
2018,12,24,55.3439,164.5099,10,6.1
2018,12,23,-20.2855,-175.071,113,6.4
2018,12,22,-13.4,166.8151,42,6
2018,12,20,55.0999,164.6993,16.56,7.3
2018,12,19,-36.1378,-101.0723,10,6.3
2018,12,16,-3.9226,140.2323,61.97,6.1
2018,12,12,-55.6687,-128.6641,10,6.3
2018,12,11,-58.5446,-26.3856,133,7.1
2018,12,5,-22.0629,169.7331,10,6.6
2018,12,5,-21.9496,169.4266,10,7.5
2018,12,5,-22.0161,169.3495,10,6.3
2018,12,1,-7.3841,128.7065,136,6.4
2018,11,30,61.3464,-149.9552,46.7,7.1
2018,11,25,34.3609,45.7443,18,6.3
2018,11,25,13.1817,-81.0931,10,6
2018,11,18,-17.8735,-178.9273,540,6.8
2018,11,16,-10.5383,163.1676,10,6.2
2018,11,15,-56.2363,-122.0441,10,6.3
2018,11,15,-56.7065,-25.546,15,6.4
2018,11,14,55.6414,161.9943,49,6.1
2018,11,11,15.5653,-49.8719,10,6.3
2018,11,10,-20.4538,-174.0081,35,6.1
2018,11,9,71.6312,-11.2431,10,6.7
2018,11,4,7.7599,123.867,600.71,6
2018,11,2,47.8334,146.6972,433,6
2018,11,1,-19.5827,-69.2656,102,6.2
2018,10,30,-39.057,174.9584,225.48,6.1
2018,10,29,-57.434,-66.3834,10,6.3
2018,10,28,13.0346,-90.3687,22,6.1
2018,10,25,37.5203,20.5565,14,6.8
2018,10,22,49.297,-129.7237,10,6.5
2018,10,22,49.3346,-129.289,10,6.8
2018,10,22,49.2586,-129.4124,10,6.5
2018,10,16,-21.7427,169.5217,17,6.5
2018,10,16,-21.9232,169.4869,12,6.3
2018,10,13,52.8549,153.2429,461,6.7
2018,10,10,49.2902,156.2968,20,6.5
2018,10,10,-4.9624,151.7231,121,6.2
2018,10,10,-5.7012,151.2046,39,7
2018,10,10,-5.7433,151.3533,41.56,6.1
2018,10,10,-7.4525,114.4553,9,6
2018,10,9,49.3959,156.2425,19,6.1
2018,10,1,-10.5585,120.2424,29,6
2018,9,30,-18.3604,-178.0633,550,6.7
2018,9,28,-0.2559,119.8462,20,7.5
2018,9,28,-0.4009,119.7705,4.99,6.1
2018,9,18,-37.8135,49.7765,10,6
2018,9,16,-25.415,178.1991,576,6.5
2018,9,10,-21.988,170.1584,12,6.3
2018,9,10,-31.7447,-179.3728,115,6.9
2018,9,9,-10.0207,161.5025,68,6.5
2018,9,8,7.2377,126.4779,10,6.2
2018,9,7,-2.2532,-78.7903,110.5,6.2
2018,9,6,-18.4743,179.3502,670.81,7.9
2018,9,5,42.6861,141.9294,35,6.6
2018,8,29,-22.0295,170.1262,21.43,7.1
2018,8,28,16.8044,146.8395,55,6.4
2018,8,28,-10.773,124.1871,14,6.2
2018,8,25,34.6111,46.2422,10,6
2018,8,25,52.0325,-171.0232,7.9,6
2018,8,24,-11.0355,-70.8284,630,7.1
2018,8,23,51.35,-177.7604,20,6.3
2018,8,22,43.5637,-127.7166,10,6.2
2018,8,21,-16.0315,168.1428,9,6.5
2018,8,21,10.7731,-62.9019,146.82,7.3
2018,8,19,-8.319,116.6272,21,6.9
2018,8,19,-16.9783,-178.0332,415.6,6.4
2018,8,19,-8.3366,116.5993,16,6.3
2018,8,19,-18.4447,-177.6404,575.76,6.3
2018,8,19,-18.1125,-178.153,600,8.2
2018,8,17,8.7791,-83.1527,15,6.1
2018,8,17,-7.3718,119.8017,529,6.5
2018,8,16,23.4226,143.3187,20,6.3
2018,8,15,51.4234,-178.0262,33.93,6.5
2018,8,14,-58.1339,-25.2725,25,6.1
2018,8,12,69.5227,-144.3388,16.2,6
2018,8,12,69.5762,-145.291,15.8,6.4
2018,8,10,48.4593,154.939,27,6
2018,8,5,-8.2581,116.4375,34,6.9
2018,7,28,-8.2395,116.508,14,6.4
2018,7,28,-7.1039,122.7263,578.16,6
2018,7,23,-0.2994,-19.252,10,6
2018,7,19,-6.1139,148.7302,29.62,6
2018,7,17,-11.5936,166.432,37.96,6
2018,7,15,13.8484,51.717,10,6
2018,7,15,14.0625,51.7365,10,6
