期間	震度１	震度２	震度３	震度４	震度５弱	震度５強	震度６弱	震度６強	震度７	合計
1949年	520	201	59	3	0	0	0	0	0	783
1950年	710	199	40	5	0	0	0	0	0	954
1951年	705	209	56	5	0	0	0	0	0	975
1952年	783	266	51	9	1	0	0	0	0	1110
1953年	621	226	55	3	1	0	0	0	0	906
1954年	559	199	52	7	0	0	0	0	0	817
1955年	506	184	61	7	0	0	0	0	0	758
1956年	487	208	61	12	0	0	0	0	0	768
1957年	431	228	68	6	0	0	0	0	0	733
1958年	398	207	69	3	2	0	0	0	0	679
1959年	410	204	59	8	0	0	0	0	0	681
1960年	413	198	56	12	0	0	0	0	0	679
1961年	568	263	70	20	1	0	0	0	0	922
1962年	1043	636	207	62	15	0	0	0	0	1963
1963年	447	232	76	9	1	0	0	0	0	765
1964年	633	328	82	18	1	0	0	0	0	1062
1965年	6499	1091	174	28	0	0	0	0	0	7792
1966年	48492	3980	422	52	10	0	0	0	0	52956
1967年	2578	313	94	18	1	0	0	0	0	3004
1968年	1601	477	145	23	7	0	0	0	0	2253
1969年	828	273	86	9	1	0	0	0	0	1197
1970年	821	332	94	7	4	0	0	0	0	1258
1971年	462	252	77	10	1	0	0	0	0	802
1972年	547	262	115	15	1	0	1	0	0	941
1973年	591	312	76	13	3	0	0	0	0	995
1974年	606	235	78	12	2	0	0	0	0	933
1975年	462	197	54	12	1	0	0	0	0	726
1976年	355	172	72	5	0	0	0	0	0	604
1977年	446	199	60	11	0	0	0	0	0	716
1978年	687	289	108	31	3	0	0	0	0	1118
1979年	369	147	65	7	0	0	0	0	0	588
1980年	516	215	66	13	1	0	0	0	0	811
1981年	327	131	50	11	1	0	0	0	0	520
1982年	475	223	64	9	0	0	1	0	0	772
1983年	737	291	92	22	2	0	0	0	0	1144
1984年	732	357	143	35	1	0	0	0	0	1268
1985年	422	193	54	11	1	0	0	0	0	681
1986年	716	367	123	34	4	0	0	0	0	1244
1987年	438	215	70	12	8	0	0	0	0	743
1988年	510	241	79	11	0	0	0	0	0	841
1989年	648	277	109	10	1	0	0	0	0	1045
1990年	426	223	86	16	0	0	0	0	0	751
1991年	891	307	104	27	0	0	0	0	0	1329
1992年	1102	620	206	44	8	0	0	0	0	1980
1993年	1014	441	108	29	4	0	1	0	0	1597
1994年	490	213	87	23	1	0	2	0	0	816
1995年	1198	585	167	50	5	0	0	0	1	2006
1996年	731	336	66	23	8	0	0	0	0	1164
1997年	1188	434	129	30	5	4	1	0	0	1791
1998年	999	374	118	27	1	0	1	0	0	1520
1999年	641	278	81	20	3	0	0	0	0	1023
2000年	12207	3975	1133	312	30	8	6	1	0	17672
2001年	1013	352	110	28	5	3	1	0	0	1512
2002年	821	309	95	24	4	0	0	0	0	1253
2003年	1344	573	191	63	2	0	5	1	0	2179
2004年	1316	619	217	77	12	11	2	2	1	2257
2005年	1056	485	122	38	4	5	2	0	0	1712
2006年	862	340	113	25	3	0	0	0	0	1343
2007年	1351	520	170	48	4	2	1	2	0	2098
2008年	1216	483	163	34	6	0	1	1	0	1904
2009年	1068	399	124	36	3	0	1	0	0	1631
2010年	883	294	99	32	5	0	0	0	0	1313
2011年	6518	2863	976	253	45	17	4	4	1	10681
2012年	2010	816	232	65	12	4	0	0	0	3139
2013年	1523	613	187	52	5	6	1	0	0	2387
2014年	1328	535	134	46	7	1	1	0	0	2052
2015年	1175	474	149	34	5	5	0	0	0	1842
2016年	4016	1778	601	159	18	5	6	2	2	6587
